文件名,编,分编,章,节,内容
青岛市城乡规划条例,,,第一章 总 则,,第一条 为了加强城乡规划管理统筹协调城乡空间布局改善人居环境保护历史文化和生态资源促进城乡经济社会全面协调可持续发展根据《中华人民共和国城乡规划法》等有关法律、法规结合本市实际制定本条例。
青岛市城乡规划条例,,,第一章 总 则,,第二条 在本市行政区域内制定和实施城乡规划在规划区内进行建设活动应当遵守本条例。
青岛市城乡规划条例,,,第一章 总 则,,第三条 市人民政府领导全市的城乡规划工作。市城乡规划主管部门、县级市人民政府及其城乡规划主管部门、镇人民政府按照规定的权限负责城乡规划管理工作。土地、建设、城管执法、环境保护、海洋、人民防空、文物等部门按照各自职责做好城乡规划管理的相关工作。
青岛市城乡规划条例,,,第一章 总 则,,第四条 市、县级市人民政府设立城乡规划委员会。城乡规划委员会负责审议城乡规划制定、实施和修改中的重要事项为本级人民政府决策提供依据。市人民政府设立历史文化名城保护委员会。历史文化名城保护委员会负责审议历史文化名城保护中的重要事项为市人民政府决策提供依据。城乡规划委员会和历史文化名城保护委员会的组织形式、职能和工作制度由市人民政府规定。
青岛市城乡规划条例,,,第一章 总 则,,第五条 经依法批准的城乡规划是城乡建设和规划管理的依据任何单位和个人都应当遵守。
青岛市城乡规划条例,,,第一章 总 则,,第六条 城乡规划主管部门应当建立完善城乡规划公众参与制度公开城乡规划信息保障公民、法人和其他组织依法获取规划信息和依法监督城乡规划的制定、实施、修改。
青岛市城乡规划条例,,,第二章 城乡规划的制定和修改,,第七条 城市总体规划、镇总体规划、控制性详细规划、修建性详细规划和村庄规划按照《中华人民共和国城乡规划法》的规定编制、报批和备案。城市总体规划、镇总体规划、控制性详细规划、专项规划、特定区域规划和重要地块的修建性详细规划在报送审批前应当提交城乡规划委员会审议。编制涉及历史文化名城保护内容的城乡规划应当经历史文化名城保护委员会论证。
青岛市城乡规划条例,,,第二章 城乡规划的制定和修改,,第八条 市人民政府应当根据省域城镇体系规划和本市经济社会发展需要组织编制市域城镇体系规划提出市域城乡统筹发展战略确定城镇功能、空间布局和规模控制统筹城乡基础设施、公共服务设施和产业发展布局明确对生态环境、自然资源、能源以及历史文化遗产保护与利用的综合目标和要求等。
青岛市城乡规划条例,,,第二章 城乡规划的制定和修改,,第九条 综合防灾、综合交通、基础设施、公共服务设施、绿地系统、河湖水系、地下空间等专项规划由城乡规划主管部门、相关主管部门组织编制报本级人民政府审批并报本级人民代表大会常务委员会备案。县级市的专项规划应当同时报市城乡规划主管部门和相关主管部门备案。专项规划应当符合城乡统筹发展战略满足城市规划区和相邻区域未来人口、资源、环境、经济、文化和其他社会要素发展变化的需要。经依法批准的专项规划应当纳入相应的城乡规划。专项规划确定的布局要求和建设时序应当作为相应城乡规划的强制性内容。
青岛市城乡规划条例,,,第二章 城乡规划的制定和修改,,第十条 本市以下特定区域应当编制特定区域规划按照法律、法规的规定报批法律、法规未作规定的报市人民政府审批并报市人民代表大会常务委员会备案湾、海岛、湿地、林地、森林公园、中心城区的山体和生活饮用水源地等特定自然区域定历史文化区域口加工区、临港经济开发区等特定经济区域经济社会发展具有重大意义的其他特定区域。特定区域规划应当划定特定区域的范围以及规划控制线明确特定区域的功能结构、空间布局、资源保护措施等。对特定区域的保护、利用和管理应当符合法律、法规和特定区域规划的要求。
青岛市城乡规划条例,,,第二章 城乡规划的制定和修改,,第十一条 市和县级市人民政府负责组织编制总体规划的具体工作由城乡规划主管部门承担。城乡规划的具体编制工作应当委托具有相应资质等级的单位承担城市总体规划和特定区域规划的具体编制工作应当委托具有甲级规划编制资质的单位承担。
青岛市城乡规划条例,,,第二章 城乡规划的制定和修改,,第十二条 编制城乡规划应当遵守法律、法规的规定符合技术标准和规范的要求。编制城乡规划应当依法确定规划的强制性内容。下一层次规划的编制不得违背和变更上一层次规划确定的强制性内容并应当对上一层次规划确定的强制性内容作出具体安排。
青岛市城乡规划条例,,,第二章 城乡规划的制定和修改,,第十三条 编制城市总体规划应当组织对现行总体规划的实施进行总结对城市发展战略、功能定位、城乡空间布局和人口规模、环境容量、防灾减灾以及生态环境、自然资源、特色风貌保护等进行专题研究作为编制总体规划的基础。对因城市发展需要进行规划控制但尚未编制控制性详细规划的区域城乡规划主管部门可以根据需要编制概念规划作为编制和实施城乡规划的参考依据。
青岛市城乡规划条例,,,第二章 城乡规划的制定和修改,,第十四条 在城市总体规划确定的中心城区范围内的镇不再单独编制镇总体规划。在城市、镇总体规划确定的规划区范围内的村庄不再单独编制村庄规划。
青岛市城乡规划条例,,,第二章 城乡规划的制定和修改,,第十五条 城乡规划报送审批前应当将城乡规划草案予以公告并采取论证会、听证会或者其他方式征求有关单位、专家和公众的意见。公告的时间不得少于三十日公告的场所和时间应当提前三日在政府网站、报纸等媒体发布。
青岛市城乡规划条例,,,第二章 城乡规划的制定和修改,,第十六条 市和县级市、镇人民政府应当每五年组织有关单位和专家对城市、镇总体规划以及相关专项规划的实施情况进行一次评估并向本级人民代表大会常务委员会、镇人民代表大会和城市、镇总体规划的原审批机关提出评估报告。
青岛市城乡规划条例,,,第二章 城乡规划的制定和修改,,第十七条 城乡规划的修改应当按照法律、法规的规定进行。控制性详细规划修改涉及城市总体规划、镇总体规划的强制性内容的应当先修改总体规划。专项规划、特定区域规划的修改除法律、法规另有规定外应当按照原审批程序报批、备案。特定区域规划的修改不得缩小规划控制线确定的自然生态资源保护范围。
青岛市城乡规划条例,,,第二章 城乡规划的制定和修改,,第十八条 城乡规划、测绘主管部门应当加强城乡地理空间数据库的建设为城乡规划的制定、实施和修改提供基础信息。建立城乡规划基础资料信息系统促进区域、部门和行业之间的信息开发与共享实现全市城乡规划、建设与管理基础资料信息的协同开发和动态维护。
青岛市城乡规划条例,,,第三章 城乡规划的实施,,第十九条 在城乡规划区内进行建设应当遵循先规划后建设的原则符合城乡规划服从规划管理。
青岛市城乡规划条例,,,第三章 城乡规划的实施,,第二十条 城乡规划主管部门应当会同建设主管部门以及其他相关部门依据城市总体规划、土地利用总体规划、年度供地计划以及国民经济和社会发展规划组织编制近期建设规划报本级人民政府批准后实施。近期建设规划应当以基础设施、公共服务设施、保障性住房建设和生态环境保护为重点内容明确近期建设的规模、时序以及空间布局和发展方向。城市土地供应和建设投资计划应当与近期建设规划相协调。
