文件名,编,分编,章,节,内容
青岛市城市公有房产管理暂行办法,,,第一章 总则,,第一条 为了加强城市公有房产的管理保护所有权单位和使用人的合法权益适应社会主义现代化建设和人民生活的需要根据国家法律法规的有关规定结合本市实际情况特制定本暂行办法。
青岛市城市公有房产管理暂行办法,,,第一章 总则,,第二条 本暂行办法适用于市南区、市北区、四方区、李沧区和各县级市、崂山区、城阳区、黄岛区的城区、建制镇、独立工矿区。
青岛市城市公有房产管理暂行办法,,,第一章 总则,,第三条 公有房产包括房产经营单位直接管理的国有房产国家机关、团体、部队、事业单位自管的房产全民所有制和集体所有制企业单位自管的房产。
青岛市城市公有房产管理暂行办法,,,第一章 总则,,第四条 公有房产的所有权和使用权受国家法律保护。任何单位和个人不得利用公有房产危害公共利益损害他人合法权益。
青岛市城市公有房产管理暂行办法,,,第一章 总则,,第五条 青岛市房产管理局是青岛市人民政府管理城市公有房产的行政主管部门。青岛市房产管理局和各县级市、区房产管理部门以下统称房管机关负责本辖区内城市公有房产的行政管理工作。经批准成立的房产经营单位依法经营直管的国有房产。
青岛市城市公有房产管理暂行办法,,,第二章 产权和产籍的管理,,第六条 公有房产所有单位均须到房管机关办理房产所有权登记经审查确认后发给房产所有权证件房产所有权证件具有法律效力严禁涂改、伪造。房产所有权发生转移、变更、产业增减包括新建、扩建、加层、拆除、倒塌时所有权单位须在一个月内到房管机关办理转移、变更、注销登记。逾期登记者须交纳逾期费拒绝登记者其房产视为产权不清由房管机关予以代管。
青岛市城市公有房产管理暂行办法,,,第二章 产权和产籍的管理,,第七条 全民所有制单位管理的房产属社会主义全民所有所有权单位应在国家法律法规的范围内行使占有、使用和处分的权利履行保护、管理和合理使用的义务。房产经营单位直接管理的国有房产拨给单位使用的使用单位只有使用权没有处分权。集体所有制单位的自管房产属社会主义劳动群众集体组织所有。所有权单位依法享有占有、使用和处分的权利履行保护、管理和合理使用的义务。
青岛市城市公有房产管理暂行办法,,,第二章 产权和产籍的管理,,第八条 房产所有权单位对所管理的房产要做到产权归属清楚产籍资料完整全面掌握房产的产权、坐落、结构、面积、设备、用途、完好程度、用地面积及变化情况。
青岛市城市公有房产管理暂行办法,,,第二章 产权和产籍的管理,,第九条 房产所有权单位和房产经营单位要认真贯彻执行国家颁布的有关房产管理法规、政策设专管机构或专管人员经营管理和维修所管房产接受房管机关的行政管理并向房管机关报送房产经营管理情况和有关统计资料。
青岛市城市公有房产管理暂行办法,,,第二章 产权和产籍的管理,,第十条 房管机关对城市公有房屋负有技术、质量鉴定的责任。
青岛市城市公有房产管理暂行办法,,,第二章 产权和产籍的管理,,第十一条 房管机关必须严格遵守法律和执行国家政策对单位和公民就公有房产提出的咨询必须作出负责的解释或答复。
青岛市城市公有房产管理暂行办法,,,第三章 房产的经营和管理,,第十二条 房产所有权单位和房产经营单位依法可以将房产出租、出售或用房产与国内其他经济组织合资经营工业、商业和服务业等也可以依照法律的规定用房产与外国企业及其他经济组织或个人进行各种形式的经济合作。未经批准禁止一切单位或个人利用公有房产搞任何形式的合资经营、联合经营禁止变相出卖使用权。
青岛市城市公有房产管理暂行办法,,,第三章 房产的经营和管理,,第十三条 为了促进城市经济发展鼓励利用铺面房屋发展第三产业。铺面房的出租、出售实行商品租金、商品价格。具体办法由市人民政府制定。
青岛市城市公有房产管理暂行办法,,,第三章 房产的经营和管理,,第十四条 鼓励公民个人购买公有住宅。公民有优先购买所承租的住宅的权利。
青岛市城市公有房产管理暂行办法,,,第三章 房产的经营和管理,,第十五条 公有房产出租由房产出租单位与承租人签订租赁合同租赁双方合法权益受国家法律保护。承租、退租公有房屋承租人凭房产出租单位发给的《承、退租房屋证明》到公安部门办理户口迁出、迁入手续。
青岛市城市公有房产管理暂行办法,,,第三章 房产的经营和管理,,第十六条 租赁合同中应明确规定租赁双方的权利和义务以及其他约定事项和违约责任等租赁合同的格式由青岛市房产管理局统一印制。房产出租单位除租赁合同规定的内容外不得向承租人索取额外费用。
青岛市城市公有房产管理暂行办法,,,第三章 房产的经营和管理,,第十七条 公有房产出租实行租金制住宅房屋按使用面积计租非住宅房屋按建筑面积计租。房产出租单位收取的租金按国家规定的比例用于房屋及其设备的维修和更新不准挪作他用。房屋经过维修建筑结构和使用条件发生变化的房租应做相应的调整。
青岛市城市公有房产管理暂行办法,,,第三章 房产的经营和管理,,第十八条 承租人须按月缴租对拖欠租金者房产出租单位按月加收月租额百分之十的违约金。
青岛市城市公有房产管理暂行办法,,,第三章 房产的经营和管理,,第十九条 房产经营单位直管房产的租金以单位名义承租者通过银行托收以个人名义承租者由承租人所在工作单位代扣统缴承租人无工作单位者由出租单位直接收取承租人也可集体汇缴或自行缴纳。
青岛市城市公有房产管理暂行办法,,,第三章 房产的经营和管理,,第二十条 承租人要求分立承租名义必须有正当理由且承租的房屋具备分立承租的条件方可提出申请经房产出租单位审查同意后得以签订新的租赁合同。承租人要求变更承租名义须经房产出租单位审查同意后方可办理变更承租名义手续。
青岛市城市公有房产管理暂行办法,,,第三章 房产的经营和管理,,第二十一条 已出租的公有住宅经房管机关批准另作他用时房产出租单位或用房单位须给承租人另行合理安排住房安排标准比照省、市城市建设拆迁安置办法执行。
青岛市城市公有房产管理暂行办法,,,第三章 房产的经营和管理,,第二十二条 房产出租单位应承担下列义务
青岛市城市公有房产管理暂行办法,,,第三章 房产的经营和管理,,第二十三条 承租人有下列情形之一者房产出租单位有权解除租赁合同收回房屋续闲置一年以上者。
青岛市城市公有房产管理暂行办法,,,第四章 房屋的使用和维修,,第二十四条 凡承租公有房屋的单位因关、停、并、转、迁等所腾出的非住宅房屋应退还给出租单位不得任意改变房屋的用途或自行转让使用权。
青岛市城市公有房产管理暂行办法,,,第四章 房屋的使用和维修,,第二十五条 任何单位和个人未经房产所有权单位或房产经营单位批准而擅自占用公有房屋必须限期迁出。
青岛市城市公有房产管理暂行办法,,,第四章 房屋的使用和维修,,第二十六条 承租房屋的单位和个人有爱护房屋及其附属设备的义务不准在房屋及院内乱拆、乱建或安装影响住宅安全使用的动力设备。凡承租人共同使用的房屋部位和院落应共同合理使用不得独自占用。
青岛市城市公有房产管理暂行办法,,,第四章 房屋的使用和维修,,第二十七条 凡出租的公有房屋及其附属设备的自然损坏由出租单位负责维修不属养护性质的装修、粉饰以及人为的损坏由承租人或损坏人负责提倡承租人对室内进行装修和粉饰改善使用环境。
青岛市城市公有房产管理暂行办法,,,第四章 房屋的使用和维修,,第二十八条 承租单位因生产、营业需要欲自费进行改建、扩建及变更附属设备时须与房产出租单位签订协议并经城建部门签发施工执照后方可施工。拆除或减少的房屋面积和设备承租单位须向房产出租单位交纳赔偿费。自费扩大的房屋面积自使用的第十三个月起房产出租单位按新增面积重新计收租金。自费改建、扩建的房屋及变更的附属设备在依法或依约终止租赁合同时不得自行拆除房产出租单位不予补偿。
青岛市城市公有房产管理暂行办法,,,第四章 房屋的使用和维修,,第二十九条 房产所有权单位和房产经营单位应加强对房屋的维修保养每年对所管房屋及其附属设备进行定期检查编制维修计划搞好零修养护。对危险房屋、严重破漏房屋要及时组织维修或翻建。公有房屋的翻建、拆除和改造必须服从城市统一规划。
