文件名,编,分编,章,节,内容
青岛市职业教育条例,,,第一章 总则,,第一条 为了促进职业教育发展提高劳动者素质服务经济社会发展根据《中华人民共和国职业教育法》和有关法律、法规结合本市实际制定本条例。
青岛市职业教育条例,,,第一章 总则,,第二条 本市行政区域内职业教育及其相关活动适用本条例。本条例所称的职业学校包括高等职业学校、技师学院、中等职业学校含普通中专、职业中专、成人中专下同和技工学校。
青岛市职业教育条例,,,第一章 总则,,第三条 建立和完善政府推动、市场引导、行业指导、社会参与的职业教育办学体制。
青岛市职业教育条例,,,第一章 总则,,第四条 市人民政府应当统筹全市职业教育发展优化职业教育结构和布局推动城乡职业教育协调发展。市、区市人民政府应当加强对本行政区域内职业教育工作的领导将职业教育纳入国民经济和社会发展规划建立和完善职业教育工作联席会议制度促进职业教育发展。
青岛市职业教育条例,,,第一章 总则,,第五条 市、区市教育部门负责本行政区域内职业教育的统筹规划、综合协调、宏观管理。教育、人力资源社会保障、发展改革、财政、价格、经济信息化、农业、机构编制、城乡规划、国土资源房管、税务等有关部门在各自职责范围内分别负责职业教育的有关工作。行业主管部门应当做好本行业职业教育业务指导工作并做好主管职业学校的管理工作。
青岛市职业教育条例,,,第一章 总则,,第六条 市、有关区市教育部门应当会同人力资源社会保障、发展改革部门编制职业教育发展规划报本级人民政府批准后组织实施。编制职业教育发展规划应当注重基础能力建设并与经济社会发展需求、现代产业体系和社会就业相适应。
青岛市职业教育条例,,,第一章 总则,,第七条 行业组织应当根据本行业的人才需求情况指导本行业职业教育工作。鼓励有条件的行业组织组建行业职业教育教学指导委员会指导并参与教育教学。
青岛市职业教育条例,,,第一章 总则,,第八条 鼓励企业事业单位、社会团体、其他社会组织以及个人投资举办职业教育和对职业教育事业给予资助、捐赠。
青岛市职业教育条例,,,第二章 学校,,第九条 举办职业学校应当符合法律、法规规定的条件。举办公办中等职业学校由市人民政府批准申请举办筹设民办中等职业学校的由市教育部门审批。申请举办高等职业学校、技师学院、技工学校的按照有关规定审批。
青岛市职业教育条例,,,第二章 学校,,第十条 职业学校应当依据法律、法规和学校章程建立行业、企业、科研机构、社会组织等参与的治理机制健全现代职业学校制度。
青岛市职业教育条例,,,第二章 学校,,第十一条 职业学校应当对学生进行思想政治教育和职业道德教育培养学生的人文素养、职业素养、职业技能和创新创业意识为学生的就业创业、职业生涯发展等提供指导和服务。职业学校应当推动专业设置与产业需求、课程内容与职业标准、教学过程与生产过程相对接。
青岛市职业教育条例,,,第二章 学校,,第十二条 职业学校可以根据产业发展和人才需求状况设置、调整专业并按照规定向有关部门备案。
青岛市职业教育条例,,,第二章 学校,,第十三条 职业学校可以依法自主聘任专职、兼职教师。鼓励职业学校聘任行业组织、企业事业单位管理人员、专业技术人员和高技能人才等担任专业兼职教师。公办职业学校教职工编制总额中的百分之二十可以用于聘用专业兼职教师。
青岛市职业教育条例,,,第二章 学校,,第十四条 职业学校应当配备相应的设施设备建设与教学规模相适应的实习实训基地推动信息技术与教育教学融合提高信息技术应用水平。
青岛市职业教育条例,,,第二章 学校,,第十五条 职业学校开展技术服务和社会培训所得收入可以按照一定比例纳入学校绩效工资分配。
青岛市职业教育条例,,,第二章 学校,,第十六条 鼓励职业学校通过兼并、托管、合作办学等形式整合办学资源。鼓励职业学校引进境外优质教育资源、专业课程、人才培养模式等。鼓励有条件的职业学校与境外学校、企业联合培养人才。
青岛市职业教育条例,,,第三章 教师和学生,,第十七条 教育、人力资源社会保障部门应当制定职业学校教师培训规划并纳入教师队伍建设总体规划。教育、人力资源社会保障部门应当采取措施鼓励职业学校教师取得相关职业资格证书或者技术等级证书。
青岛市职业教育条例,,,第三章 教师和学生,,第十八条 职业学校应当根据教育、人力资源社会保障部门制定的教师培训规划落实教师培训进修、实践锻炼等制度。专业教师每两年到相关企业事业单位实践锻炼累计不少于两个月。没有行业、企业事业单位经历或者经验的初任教师执教专业课前应当到相关企业事业单位进行不少于六个月的实践锻炼。
青岛市职业教育条例,,,第三章 教师和学生,,第十九条 职业学校评聘教师专业技术职务职称时应当将教师的专业经验、技能水平、教学实绩、技术开发能力等作为重要依据。
青岛市职业教育条例,,,第三章 教师和学生,,第二十条 职业学校安排教师和管理人员担任班主任的应当支付相应津贴。
青岛市职业教育条例,,,第三章 教师和学生,,第二十一条 市、有关区市人民政府应当保持中等职业教育与普通高中教育招生比例相当。市教育、人力资源社会保障、发展改革部门应当制定年度招生计划。市教育部门应当建立统一招生平台对本市应届初中毕业生实行中等职业教育、普通高中教育统一考试录取。
青岛市职业教育条例,,,第三章 教师和学生,,第二十二条 职业学校招生不得收取与招生录取挂钩的费用不得进行有偿招生。职业学校发布的招生广告、招生简章应当真实合法 并按照规定报教育、人力资源社会保障部门备案。
青岛市职业教育条例,,,第三章 教师和学生,,第二十三条 普通中学应当引导和帮助学生合理选择职业学校和专业不得限制其填报考试志愿。
青岛市职业教育条例,,,第三章 教师和学生,,第二十四条 中等职业教育学生按照国家、省、市有关规定享受相关学费免除待遇符合条件的可以获得助学补助。支持金融机构为接受职业教育的贫困家庭学生提供助学贷款。支持企业事业单位、社会团体、其他社会组织以及个人在职业学校设立奖学金和助学金。
青岛市职业教育条例,,,第三章 教师和学生,,第二十五条 职业学校应当在收费前公示收费项目、标准、范围、依据等内容。职业学校不得超范围、超标准向学生收取费用。职业学校因虚假宣传或者因违法行为致使教育教学活动不能正常进行等原因造成学生退学的应当退还所收取的全部费用。
青岛市职业教育条例,,,第三章 教师和学生,,第二十六条 中等职业学校、技工学校与普通高中之间可以按照有关规定实行学生学籍互转、学分互认。支持职业学校实行弹性学制和学分制允许学生工学交替提前或者延后完成学业。支持不同层级职业学校之间、职业学校与应用型本科高校之间对口贯通分段培养学生。
青岛市职业教育条例,,,第三章 教师和学生,,第二十七条 实行职业学校毕业生职业资格证书和学历证书双证书制度。职业学校毕业生经考核鉴定合格发给相应的职业资格证书。职业学校毕业生参加与所学专业相关的中级职业技能鉴定考核时免除理论考试。中等职业学校毕业生修业期满且考试合格的发给相应的学历证书。技工学校学生达到市教育、人力资源社会保障部门认可的学分标准的由市教育部门颁发中专学历证书。鼓励职业学校毕业生取得多个职业资格证书。
青岛市职业教育条例,,,第四章 校企合作,,第二十八条 鼓励、支持职业学校与企业事业单位及其他组织在合作办学、人才培养、资源共享、共同发展等方面开展合作鼓励企业事业单位及其他组织设立学生实习和教师实践岗位在校企合作中发挥主体作用。鼓励行业组织发挥资源、技术、信息等优势引导和支持本行业企业事业单位与职业学校开展校企合作。
青岛市职业教育条例,,,第四章 校企合作,,第二十九条 市、区市人民政府应当设立校企合作扶持资金主要用于补助接纳学生顶岗实习和教师顶岗锻炼的单位、扶持公共实训基地建设等。具体办法由市、区市人民政府制定。
青岛市职业教育条例,,,第四章 校企合作,,第三十条 职业学校应当根据经济社会发展和市场需求与企业事业单位及其他组织开展下列事项的合作先推荐毕业生科技成果转化职业学校应当与合作企业事业单位及其他组织签订校企合作协议。
青岛市职业教育条例,,,第四章 校企合作,,第三十一条 职业学校应当按照有关规定安排学生实习实训并保证学生的实习实训时间。企业事业单位及其他组织应当按照有关规定接纳职业学校对口专业学生实习和教师实践锻炼并提供指导和便利条件。
