文件名,编,分编,章,节,内容
青岛市胶州湾保护条例,,,第一章 总则,,第一条 为了保护胶州湾的环境和资源根据有关法律、法规结合本市实际制定本条例。
青岛市胶州湾保护条例,,,第一章 总则,,第二条 本条例适用于胶州湾保护范围和入胶州湾河流及其两侧控制区域。
青岛市胶州湾保护条例,,,第一章 总则,,第三条 胶州湾保护范围包括胶州湾海域和胶州湾沿岸陆域。胶州湾湿地保护规划以及其他专项保护规划划定的保护区域超出以上范围的以保护规划确定的范围为准。胶州湾海域为胶州湾保护控制线的围合区域。胶州湾保护控制线是指经市人民代表大会常务委员会批准的东起团岛湾头沿沧口湾、红岛、河套、海西湾西至凤凰岛脚子石的连线。胶州湾沿岸陆域为自胶州湾保护控制线至陆域控制线的区域。陆域控制线是指东起团岛湾头沿团岛路、团岛一路、四川路、冠县路、新疆路、胶济铁路、仙山西路、双元路、河东路、滨河路、胶州湾高速、双积路、红柳河路、千山北路、淮河东路、江山路、嘉陵江路、漓江东路西至凤凰岛脚子石的连线。
青岛市胶州湾保护条例,,,第一章 总则,,第四条 胶州湾保护遵循保护优先、规划先行、海陆统筹、综合防治的原则。
青岛市胶州湾保护条例,,,第一章 总则,,第五条 市和区市人民政府、经济功能区管理机构应当将胶州湾保护和入胶州湾河流污染防治、河道治理所需经费纳入本级财政预算。
青岛市胶州湾保护条例,,,第一章 总则,,第六条 任何组织和个人有权对损害胶州湾的组织、个人以及有关监督管理人员的违法失职行为进行监督和检举。鼓励、支持组织和个人开展保护胶州湾的公益性活动。
青岛市胶州湾保护条例,,,第一章 总则,,第七条 市和区市人民政府、经济功能区管理机构应当加强胶州湾保护的宣传、教育对在胶州湾保护工作中做出突出贡献的组织和个人给予表彰或者奖励。
青岛市胶州湾保护条例,,,第二章 机构与职责,,第八条 胶州湾的保护管理工作实行分级、分部门管理以市级管理为主。
青岛市胶州湾保护条例,,,第二章 机构与职责,,第九条 市人民政府负责胶州湾保护工作。环胶州湾各区市人民政府、经济功能区管理机构和入胶州湾河流流经区域的区市人民政府按照有关法律、法规和本条例的规定负责本辖区内的胶州湾保护工作。
青岛市胶州湾保护条例,,,第二章 机构与职责,,第十条 市人民政府设立胶州湾保护委员会负责组织、协调胶州湾保护中的重要工作研究、审议有关胶州湾的重要规划、制度和重大项目建设组织胶州湾保护综合执法检查或者联合执法。胶州湾保护委员会的组织形式、职能和工作制度由市人民政府规定。
青岛市胶州湾保护条例,,,第二章 机构与职责,,第十一条 市和区市规划、环保、海洋与渔业、国土资源、林业等部门按照有关法律、法规和本条例的规定分别负责胶州湾保护范围内的规划、环保、海洋、渔业、土地、湿地等行政管理事项。海事部门按照有关法律、法规和本条例的规定负责胶州湾保护的有关工作。市、区市发展和改革、建设、城管执法、安全监管、交通运输、水利、市政公用、农业等部门按照各自职责做好胶州湾保护工作。
青岛市胶州湾保护条例,,,第二章 机构与职责,,第十二条 胶州湾保护工作涉及事项管理职责不清的市人民政府应当及时予以明确。
青岛市胶州湾保护条例,,,第三章 规划,,第十三条 市人民政府应当对胶州湾保护范围内的海岸线、建设用地等资源进行战略储备严格控制开发时序确保土地、海洋资源的可持续利用。
青岛市胶州湾保护条例,,,第三章 规划,,第十四条 胶州湾保护控制线是胶州湾海域范围保护控制的界限。市人民政府应当组织设置胶州湾保护控制线标志。胶州湾保护控制线未经批准不得调整。确需调整的应当经市人民政府全体会议或者常务会议研究后报市人民代表大会常务委员会审议。
青岛市胶州湾保护条例,,,第三章 规划,,第十五条 市海洋与渔业部门应当会同有关部门依据上一级海洋功能区划编制青岛市海洋功能区划。青岛市海洋功能区划应当编制胶州湾专章根据胶州湾的自然属性和城市发展需要科学确定胶州湾海域功能。青岛市海洋功能区划在报省人民政府批准前应当经市人民代表大会常务委员会审议。
青岛市胶州湾保护条例,,,第三章 规划,,第十六条 市人民政府应当组织对胶州湾湿地资源进行调查编制胶州湾湿地保护规划并设置保护标志。
青岛市胶州湾保护条例,,,第三章 规划,,第十七条 市规划部门应当根据城市总体规划和海洋功能区划组织编制胶州湾沿岸陆域控制性详细规划。编制胶州湾沿岸陆域控制性详细规划应当将建筑高度、建筑密度、建筑体量、建筑退线距离作为规定性指标严格保护胶州湾天际轮廓线和景观视廊。胶州湾沿岸陆域范围内的土地以成片利用为主市规划部门应当在组织编制胶州湾沿岸陆域控制性详细规划时统筹考虑。
青岛市胶州湾保护条例,,,第三章 规划,,第十八条 市规划部门应当在胶州湾保护范围内的重要观景点与被观测点之间划定视域控制范围线。在视域控制范围线内的建设项目应当进行视线景观分析不得对重要观景点和被观测点形成封闭式遮挡。
青岛市胶州湾保护条例,,,第三章 规划,,第十九条 胶州湾保护控制线向陆地一侧楼山河以南至团岛湾头、洋河以南至凤凰岛脚子石、胶州湾保护控制线与经二路红岛西侧相交处至大沽河区间距离三十米范围内其他区域距离一百米范围内除景观、交通需要外不得新建、扩建各类建筑物、构筑物。
青岛市胶州湾保护条例,,,第三章 规划,,第二十条 市排水行政主管部门应当依据城市总体规划和海洋功能区划根据胶州湾保护需要修订排水专业规划。市规划部门在组织编制胶州湾沿岸陆域控制性详细规划时应当按照排水专业规划明确污水处理厂、泵站等排水设施的位置和排水管道的走向等控制性要求。
青岛市胶州湾保护条例,,,第三章 规划,,第二十一条 市交通运输部门应当根据胶州湾保护和城市发展需要逐步调整胶州湾内港口功能减少大宗散货运输和堆放。
青岛市胶州湾保护条例,,,第三章 规划,,第二十二条 城市规划、海洋功能区划、土地利用规划应当相互协调。同一层级的规划之间存在冲突的按照最有利于保护胶州湾的规划执行。
青岛市胶州湾保护条例,,,第四章 生态保护,,第二十三条 在胶州湾海域内禁止下列行为
青岛市胶州湾保护条例,,,第四章 生态保护,,第二十四条 胶州湾保护范围内的岸线应当保持开放除依法批准的港口、码头、船舶修造及军事等用途外任何组织和个人不得圈占不得限制他人正常通行。
青岛市胶州湾保护条例,,,第四章 生态保护,,第二十五条 市规划部门应当根据胶州湾现状岸线以及岸线整理规划划定自然岸线保护范围经市人民政府批准后向社会公布。任何组织和个人不得改变胶州湾内自然岸线的属性不得破坏胶州湾自然岸线保护范围内的礁石、滩涂、湿地以及其他自然地貌和景观。
青岛市胶州湾保护条例,,,第四章 生态保护,,第二十六条 禁止毁坏胶州湾保护范围内的山体、林木、湿地和绿地。有关区市人民政府、经济功能区管理机构应当采取措施提高胶州湾保护范围内的森林覆盖率增加绿地面积防治水土流失。
青岛市胶州湾保护条例,,,第四章 生态保护,,第二十七条 在胶州湾湿地保护范围内禁止下列行为型游乐设施
青岛市胶州湾保护条例,,,第四章 生态保护,,第二十八条 海水淡化项目以及其他海水利用项目产生的浓盐水应当离岸达标排放至海水交换良好的海域或者进行稀释后近岸排放。对浓盐水进行稀释后向胶州湾海域排放的稀释后的盐度不得超过胶州湾海水盐度。
青岛市胶州湾保护条例,,,第四章 生态保护,,第二十九条 因采用海水降温技术向胶州湾海域排放含热废水应当采取有效措施保证所排放海域的水温符合国家海洋环境质量标准。
青岛市胶州湾保护条例,,,第四章 生态保护,,第三十条 胶州湾岸线整理工程项目和入胶州湾河流治理工程项目应当制定水土保持方案并经水行政主管部门审查同意。
青岛市胶州湾保护条例,,,第四章 生态保护,,第三十一条 市人民政府应当建立胶州湾生态补偿制度。市和环胶州湾各区市人民政府、经济功能区管理机构以及入胶州湾河流流经区域的区市人民政府应当将涉及胶州湾保护的海洋、湿地、河流流域生态补偿资金列入本级财政预算建立生态环保财力转移支付制度。因保护胶州湾所采取的措施对相关权利人造成损失的应当依法给予补偿对其生产、生活造成影响的还应当作出妥善安排。
青岛市胶州湾保护条例,,,第五章 污染防治,,第三十二条 实施胶州湾海域排污总量控制制度。市人民政府应当根据胶州湾海域环境保护规划确定主要污染物排入胶州湾的总量控制指标。主要污染物排入胶州湾的总量控制指标应当逐年削减。
青岛市胶州湾保护条例,,,第五章 污染防治,,第三十三条 对主要污染物排入胶州湾总量超过主要污染物排海总量控制指标的海域按照国家有关规定暂停审批新增相应种类污染物排放总量的建设项目的环境影响评价文件。
青岛市胶州湾保护条例,,,第五章 污染防治,,第三十四条 市和环胶州湾各区市人民政府、经济功能区管理机构应当针对胶州湾内各海洋功能区的水质现状分别确定治理期限并采取措施使其水质达到所在海洋功能区海水水质标准。
青岛市胶州湾保护条例,,,第五章 污染防治,,第三十五条 禁止向胶州湾海域排放下列船舶污染物港口、码头以及从事船舶修造的单位应当配备与其吞吐能力、装卸货物种类或者修造船舶能力相适应的船舶污染物接收处理设施、设备。
青岛市胶州湾保护条例,,,第五章 污染防治,,第三十六条 除因码头装卸船舶运输的石油需要配套建设的管线外禁止穿越、跨越胶州湾海域建设输油管线。
青岛市胶州湾保护条例,,,第五章 污染防治,,第三十七条 在胶州湾保护范围内以及入胶州湾河流的河道管理范围两侧五百米内禁止下列行为解、酿造、炼油、制革、有色金属冶炼、水泥、岸边冲滩拆船以及其他严重污染海洋环境的工业生产项目对不符合前款规定的已有项目市和区市人民政府、经济功能区管理机构应当按照规划要求逐步进行调整、搬迁。
青岛市胶州湾保护条例,,,第五章 污染防治,,第三十八条 胶州湾沿岸陆域范围内禁止新建、扩建煤炭、煤矸石、矿石、粉煤灰等易产生扬尘污染的露天物料堆场原有的物料堆场应当进行抑尘改造和采取防渗漏措施。临时性露天堆放的易产生扬尘污染的物料应当采用防尘网、防尘布覆盖或者进行喷淋、固化处理。
青岛市胶州湾保护条例,,,第五章 污染防治,,第三十九条 胶州湾沿岸陆域范围内生产、储存危险化学品的单位应当根据其生产、储存的危险化学品的种类和危险特性按照国家标准、行业标准或者国家有关规定在作业场所设置相应的安全设施、设备并进行经常性维护、保养保证安全设施、设备的正常使用。
青岛市胶州湾保护条例,,,第五章 污染防治,,第四十条 市和环胶州湾有关区市人民政府、经济功能区管理机构和入胶州湾河流流经区域的区市人民政府农业主管部门和其他有关部门应当指导农业生产者科学、合理使用化肥和农药、兽药并应当采取措施对使用有机肥和生物防虫技术的农业生产者给予扶持。
青岛市胶州湾保护条例,,,第五章 污染防治,,第四十一条 禁止在胶州湾海域、岸滩和入胶州湾河流的河道管理范围内倾倒、堆放、填埋工业垃圾、生活垃圾、建筑废弃物、农业废弃物以及其他废弃物。禁止直接向胶州湾排放工业废水、生活污水。流入胶州湾的河流河道内不得新建排污口城镇污水处理厂建设除外已建的排污口应当按照规定标准排放。
青岛市胶州湾保护条例,,,第五章 污染防治,,第四十二条 环胶州湾有关区市人民政府、经济功能区管理机构和入胶州湾河流流经区域的区市人民政府应当建立和完善农村社区保洁及生活垃圾处理机制实行收集、清运和处置责任制。
青岛市胶州湾保护条例,,,第五章 污染防治,,第四十三条 对入胶州湾河流有关截污、治污、清淤、河道交界断面水质达标、河道岸保洁及景观改善等保护工作实行综合环境控制目标及河段长责任制。具体办法由市人民政府制定。
青岛市胶州湾保护条例,,,第五章 污染防治,,第四十四条 胶州湾保护范围内排水设施的规划、建设、运行、维护和污水处理及监督管理按照《青岛市城市排水条例》的规定执行。胶州湾沿岸陆域范围内所有组织和个人的生产、生活污水应当限期纳入城市排水设施。在胶州湾沿岸陆域范围内新建、改建、扩建项目排放的污水应当纳入城市公共排水管道。城市公共排水管道未覆盖区域的建设项目经市环保部门同意并设置临时性专用排水管道将污水排入公共排水设施或者建设专用污水处理设施且达到规定排放标准的可以新建、改建、扩建。
青岛市胶州湾保护条例,,,第五章 污染防治,,第四十五条 采用海水脱硫工艺处理废气所排废水的重金属离子浓度不超过海水第三类水质标准、其他污染物浓度符合《山东省半岛流域水污染物综合排放标准》有关规定的方可排入胶州湾。
青岛市胶州湾保护条例,,,第五章 污染防治,,第四十六条 市安全监管、交通运输、市政公用、环保等部门和相关区市人民政府应当按照各自职责对胶州湾沿岸陆域及入胶州湾河流两侧的重大危险源进行普查、登记组织风险评估并根据风险评估情况制定风险防范措施。市环保部门和海事部门应当按照各自职责对胶州湾保护范围内及入胶州湾河流两侧的应急队伍、设施、设备进行登记建立数据库。
青岛市胶州湾保护条例,,,第五章 污染防治,,第四十七条 市人民政府应当根据胶州湾实际组织制定胶州湾重大污染事故应急预案并定期组织演练编制应急能力建设规划加强专业应急队伍建设和应急设施、设备、材料储备。
青岛市胶州湾保护条例,,,第六章 生态修复,,第四十八条 市人民政府应当组织编制胶州湾生态修复规划确定修复目标和主要措施。
青岛市胶州湾保护条例,,,第六章 生态修复,,第四十九条 市规划部门应当根据胶州湾生态修复规划和胶州湾沿岸陆域控制性详细规划组织编制胶州湾岸线整理规划。市建设部门应当根据胶州湾岸线整理规划组织编制胶州湾岸线整理工程实施方案。胶州湾岸线整理工程实施方案应当包括整理目标、整理工程项目、完成时间、责任单位和经费等保障措施。
青岛市胶州湾保护条例,,,第六章 生态修复,,第五十条 市海洋与渔业部门应当加强对胶州湾底部典型断面的冲淤监测分析冲淤态势并定期向市人民政府报告。市人民政府应当根据胶州湾淤积情况每年安排资金组织对胶州湾底部淤积重点区域进行清淤。
青岛市胶州湾保护条例,,,第六章 生态修复,,第五十一条 市海洋与渔业部门应当加强胶州湾海洋生物监测采取增殖放流等救护和繁育养护措施保护和修复水生野生动物的自然产卵场、繁殖场、索饵场、洄游通道维护胶州湾海洋生物多样性。
青岛市胶州湾保护条例,,,第六章 生态修复,,第五十二条 市和环胶州湾各区市人民政府、经济功能区管理机构应当组织开展胶州湾退化湿地恢复工作恢复湿地功能。
青岛市胶州湾保护条例,,,第六章 生态修复,,第五十三条 环胶州湾各区市人民政府、经济功能区管理机构应当对胶州湾保护范围内未经依法批准的建筑物、构筑物组织拆除。
青岛市胶州湾保护条例,,,第六章 生态修复,,第五十四条 市人民政府应当组织环胶州湾有关区市人民政府对胶州湾海域内的养殖池塘、养殖网箱、养殖筏架等渔业养殖设施进行清理。具体清理方案由市人民政府制定。
青岛市胶州湾保护条例,,,第七章 监督检查,,第五十五条 市人民政府应当每年向市人民代表大会常务委员会报告胶州湾保护、管理情况。市人民代表大会常务委员会应当通过听取专项工作报告或者执法检查等方式对市人民政府胶州湾保护工作情况开展监督。
青岛市胶州湾保护条例,,,第七章 监督检查,,第五十六条 市人民政府应当建立胶州湾保护目标责任、评估考核、终身责任追究等制度并加强监督检查。
青岛市胶州湾保护条例,,,第七章 监督检查,,第五十七条 市海洋与渔业部门应当依据国家有关标准和规范定期组织对胶州湾的海洋环境、海洋生态进行调查与评价并按照规定发布相关质量公报或者专项通报。
青岛市胶州湾保护条例,,,第七章 监督检查,,第五十八条 市规划、城管执法、环保、海洋与渔业、国土资源、林业、建设、海事等部门应当加强监视、监测网络建设提高卫星航空遥感、远程视频以及在线自动监测能力对胶州湾保护范围内的规划建设、污染物排放、海洋环境、海域使用、土地利用、湿地、船舶等进行动态监视、监测。市人民政府应当加大财政投入提升胶州湾保护相关调查、监视、监测等的装备能力和技术水平。
青岛市胶州湾保护条例,,,第七章 监督检查,,第五十九条 市人民政府胶州湾保护委员会应当组织市相关管理部门、相关区市人民政府以及经济功能区管理机构建立胶州湾保护信息共享机制实现胶州湾调查、监视、监测信息和监督管理资料的共享并组织建立违法行为查处协调配合机制。
青岛市胶州湾保护条例,,,第七章 监督检查,,第六十条 规划、城管执法、环保、海洋与渔业、国土资源、林业、建设、海事等部门应当建立日常巡查与专项检查相结合的工作制度。
青岛市胶州湾保护条例,,,第七章 监督检查,,第六十一条 规划、城管执法、环保、海洋与渔业、国土资源、林业、建设、海事等部门以及其他行使胶州湾保护管理职权的部门应当建立和完善投诉、举报制度对接到的投诉或者举报进行登记并及时核实处理对不属于本部门职权范围的应当告知有关部门处理。行使胶州湾保护管理职权的部门应当为举报人保密有明确的举报人的应当将处理结果反馈举报人。
青岛市胶州湾保护条例,,,第七章 监督检查,,第六十二条 市人民政府胶州湾保护委员会应当组织市相关管理部门建立胶州湾保护信息公开平台除依法不得公开的内容外将以下信息自形成或者批准之日起二十日内向社会公开划、土地利用规划、城乡规划、湿地保护规划、胶州湾保护控制线、自然岸线保护范围等信息定等信息者公布的信息。前款第一项所列事项和胶州湾海域排污总量控制制度、胶州湾生态补偿制度等重要制度以及重大项目建设等涉及胶州湾保护的重大事项应当采取论证会、听证会或者其他方式征求专家和公众意见。
青岛市胶州湾保护条例,,,第七章 监督检查,,第六十三条 市人民政府应当组织成立由人大代表、政协委员、专家学者和其他方面代表组成的胶州湾保护社会监督委员会对胶州湾保护工作进行监督。市人民政府胶州湾保护委员会应当每半年向胶州湾保护社会监督委员会报告一次胶州湾保护工作情况。
青岛市胶州湾保护条例,,,第八章 法律责任,,第六十四条 违反本条例第二十三条、第三十六条规定的由海洋与渔业部门责令改正恢复原状按照下列规定予以处罚缴纳的海域使用金十五倍以上二十倍以下罚款元以下罚款的处非法占用海域期间内该海域面积应缴纳的海域使用金五倍以上十五倍以下罚款域期间内该海域面积应缴纳的海域使用金十倍以上十五倍以下罚款。
青岛市胶州湾保护条例,,,第八章 法律责任,,第六十五条 违反本条例规定有下列行为之一的由海洋与渔业部门、国土资源部门按照各自职责责令恢复原状或者采取补救措施处每平方米五千元罚款线保护范围内的礁石、滩涂等自然地貌和景观的
青岛市胶州湾保护条例,,,第八章 法律责任,,第六十六条 违反本条例第二十七条第一项至四项规定破坏胶州湾湿地保护范围内的湿地的由林业部门责令恢复原状或者采取补救措施处每平方米五百元以上二千元以下罚款。违反本条例第二十七条第五项至十项规定的由林业部门责令限期改正或者采取补救措施按照下列规定处以罚款元以上五百元以下罚款元以下罚款万元以上五万元以下罚款元以下罚款
青岛市胶州湾保护条例,,,第八章 法律责任,,第六十七条 有下列行为之一的由环保部门责令限期改正处五万元以上二十万元以下罚款向胶州湾排放浓盐水的不符合国家海洋环境质量标准的理后不符合要求即向胶州湾海域排放的。
青岛市胶州湾保护条例,,,第八章 法律责任,,第六十八条 违反本条例第三十五条第一款规定向胶州湾海域排放船舶污染物的由海事部门、海洋与渔业部门按照各自职责责令限期改正或者采取补救措施处五万元以上二十万元以下罚款。
青岛市胶州湾保护条例,,,第八章 法律责任,,第六十九条 违反本条例第三十七条第一款规定的对新建项目由环保部门报经有批准权的人民政府批准责令关闭处建设项目总投资额百分之一以上百分之五以下的罚款对扩建项目由环保部门报经有批准权的人民政府批准责令限期拆除扩建部分处建设项目总投资额百分之一以上百分之五以下的罚款。
青岛市胶州湾保护条例,,,第八章 法律责任,,第七十条 违反本条例第三十八条规定新建易产生扬尘污染的露天物料堆场、原有的物料堆场未进行抑尘改造和采取防渗漏措施或者临时性露天堆放的易产生扬尘污染的物料未采取防尘措施的由环保部门、建设部门或者其他负有监督管理职责的部门按照各自职责责令限期改正处一万元以上十万元以下罚款拒不改正的责令停工整治或者停业整治。
青岛市胶州湾保护条例,,,第八章 法律责任,,第七十一条 违反本条例第四十一条第二款规定直接向胶州湾排放工业废水、生活污水的由环保部门按照权限责令停止违法行为、限期改正或者责令采取限制生产、停产整治等措施并处二万元以上十万元以下罚款拒不改正的可以自责令改正之日的次日起按照原罚款数额按日连续处罚情节严重的报经有批准权的人民政府批准责令停业、关闭。
青岛市胶州湾保护条例,,,第八章 法律责任,,第七十二条 行使胶州湾保护管理职权的部门违反本条例规定有下列情形之一的由其上级行政机关或者监察机关责令改正对直接负责的主管人员和其他直接责任人员依法给予处分设项目的环境影响评价文件的发生或者损失扩大的
青岛市胶州湾保护条例,,,第八章 法律责任,,第七十三条 违反本条例规定依照《中华人民共和国海洋环境保护法》《中华人民共和国环境影响评价法》《建设项目环境保护管理条例》等有关法律、法规应当处罚的依法予以处罚。违反本条例规定造成损害的依法承担民事责任构成犯罪的依法追究刑事责任。
青岛市胶州湾保护条例,,,第九章 附则,,第七十四条 本条例所称入胶州湾河流是指直接入湾的海泊河、李村河、板桥坊河、楼山河、白沙河、墨水河、羊毛沟河、大沽河、跃进河、洋河、漕汶河、岛耳河、龙泉河、九曲河、辛安后河、辛安前河、南辛安前河、镰湾河间接入湾的昌乐路河、张村河、水清沟河、洪江河、洙河、小沽河、猪洞河、五沽河、落药河、流浩河、南胶莱河、桃源河、云溪河。
青岛市胶州湾保护条例,,,第九章 附则,,第七十五条 入胶州湾河流作为生活饮用水源的按照生活饮用水源环境保护的规定其保护标准严于本条例规定的从其规定。
青岛市胶州湾保护条例,,,第九章 附则,,第七十六条 本条例自 2014 年 9 月 1 日起施行。
