文件名,编,分编,章,节,内容
鞍山市城市市容和环境卫生管理条例,,,第一章 总 则,,第一条 为加强城市市容和环境卫生管理建设优美、整洁、文明的现代化城市根据国务院《城市市容和环境卫生管理条例》和《辽宁省爱国卫生管理条例》结合本市实际制定本条例。
鞍山市城市市容和环境卫生管理条例,,,第一章 总 则,,第二条 在鞍山市行政区域内的城市规划区和建制镇内一切单位和个人必须遵守本条例。
鞍山市城市市容和环境卫生管理条例,,,第一章 总 则,,第三条 城市市容和环境卫生管理工作实行统一领导县管理和群众管理相结合的原则。
鞍山市城市市容和环境卫生管理条例,,,第一章 总 则,,第四条 鞍山市城市市容和环境卫生行政主管部门负责全市城市市容和环境卫生的规划、建设和管理工作。县、区城建管理部门负责本辖区的市容和环境卫生管理。建制镇人民政府负责本镇市容和环境卫生管理。
鞍山市城市市容和环境卫生管理条例,,,第一章 总 则,,第五条 城市市容和环境卫生行政主管部门的主要职责是境卫生科学知识度规范执法人员行为严格执法处。
鞍山市城市市容和环境卫生管理条例,,,第一章 总 则,,第六条 各级人民政府对认真执行本条例在城市市容和环境卫生工作中做出显著成绩的单位和个人应给予表彰和奖励。
鞍山市城市市容和环境卫生管理条例,,,第二章 市容管理,,第七条 城市建筑物和各类设施应当保持整洁完好符合国家规定的城市容貌标准。鞍山市城市市区主次干道及两侧、商业繁华区、重要公共场所的建筑物和各类设施每５年应全面整修粉饰一次表面为贴面材料或玻璃罩面的应根据污染情况及时清洗。县人民政府所在地的镇和其它建制镇可根据当地市容管理实际规定具体建筑物整修粉饰标准和时限。
鞍山市城市市容和环境卫生管理条例,,,第二章 市容管理,,第八条 临街建筑物的外部结构布局不得擅自更改。道路两侧民用建筑阳台应按封闭式建设。道路两侧确需拆扒建筑物墙体、增改建门脸、修砌踏步阶梯等必须经产权单位和房产管理部门同意市容和环境卫生行政主管部门批准后方可施工。
鞍山市城市市容和环境卫生管理条例,,,第二章 市容管理,,第九条 任何单位和个人不得在城市道路两侧新建实体围墙。
鞍山市城市市容和环境卫生管理条例,,,第二章 市容管理,,第十条 任何单位和个人都不得在政府规定的临街建筑物及市政公用设施上钉挂、拴挂有碍市容观瞻的物品不得在道路及其两侧种植农作物、堆放各种物料和设置各类加工场点。
鞍山市城市市容和环境卫生管理条例,,,第二章 市容管理,,第十一条 城市基建工程施工现场含拆迁废旧建筑物现场实行围挡作业。临街施工现场要设置不低于２米高的围栏围栏要坚固造型美观。主次干道、商业繁华区和重要地段的施工现场要设置广告式围栏。停工场地应当及时整理并作必要的覆盖工程竣工后 10 天内要拆除一切临时建筑和设施清理现场平整场地。
鞍山市城市市容和环境卫生管理条例,,,第二章 市容管理,,第十二条 在城市中设置户外广告、牌匾、标语栏、橱窗、画廊、商业门脸等必须经市容和环境卫生行政主管部门同意并按有关规定办理审批手续。经批准设置的户外广告、牌匾、标语栏、橱窗、画廊、商业门脸等应做到语言文字规范、造型美观、内容健康、整洁完好。未经产权单位同意和市容和环境卫生行政主管部门批准任何单位和个人均不得在城市建筑物、构筑物和其它市政公用设施、树木上书写、刻画、贴挂各类广告、标语等。鞍山市城市市区内各类饭店一律不得悬挂营业幌。
鞍山市城市市容和环境卫生管理条例,,,第二章 市容管理,,第十三条 任何单位和个人因建设等需要在沿街设置临时建筑物或其它设施的必须按规定的造型和指定的地点设置由市容和环境卫生行政主管部门、公安交通管理部门核发临时占道许可证交纳占道费后方可施工。经批准设置的临时建筑物须按市容和环境卫生行政主管部门规定的标准和要求进行景点式美化保持其整洁完好。不准超占面积或在外设置柜台、堆放物品。
鞍山市城市市容和环境卫生管理条例,,,第二章 市容管理,,第十四条 凡经批准设置的摊点应使用按市容和环境卫生行政主管部门和市场监督管理部门统一规定式样的经营设施、围挡或遮阳伞并不得擅自改变经营地点。
鞍山市城市市容和环境卫生管理条例,,,第二章 市容管理,,第十五条 经批准设置的集贸市场要按批准的范围设立明显的界限和隔离设施保持摊床整洁。
鞍山市城市市容和环境卫生管理条例,,,第二章 市容管理,,第十六条 经批准设置的机动车、非机动车停存车场要设立明显界限标志场内车辆摆放整齐。
