文件名,编,分编,章,节,内容
鞍山市矿山扬尘污染防治规定,,,,,第一条 为了防治矿山扬尘污染保护和改善大气环境根据有关法律、法规结合本市实际制定本规定。
鞍山市矿山扬尘污染防治规定,,,,,第二条 本规定适用于本市行政区域内矿山包括在产、关停矿山排岩场尾矿库扬尘污染防治及其监督管理活动。本规定所称矿山扬尘污染是指在矿山从事矿石、岩石开采和物料加工、储运等活动中以及矿山裸露区域产生的粉尘颗粒物对环境造成的污染。
鞍山市矿山扬尘污染防治规定,,,,,第三条 市、县市区人民政府负责本辖区的矿山扬尘污染防治工作。生态环境主管部门依法对本辖区的矿山扬尘污染防治实施统一监督管理。政府其他有关部门、乡镇人民政府和街道办事处按照有关职责共同做好矿山扬尘污染防治工作。村居民委员会协助做好矿山扬尘污染防治工作。
鞍山市矿山扬尘污染防治规定,,,,,第四条 在矿山从事矿石和岩石开采、物料加工和储运以及设有排岩场、尾矿库的企业事业单位和其他生产经营者以下简称矿山企业应当履行防治扬尘污染的法定义务采取措施防治生产经营或者其他活动对环境造成的污染对所造成的损害依法承担责任。
鞍山市矿山扬尘污染防治规定,,,,,第五条 新建、改建、扩建矿山应当根据环境影响评价和排污许可等要求建设矿山扬尘监控、监测、污染防治等设施并与主体工程同时设计、同时施工、同时投产使用。
鞍山市矿山扬尘污染防治规定,,,,,第六条 矿山企业应当制定年度矿山扬尘治理工作方案建立管理机制实施常态化管理。
鞍山市矿山扬尘污染防治规定,,,,,第七条 矿山企业应当在矿区外侧明显位置设置扬尘污染监督信息牌公示矿山所属单位名称、责任人、扬尘污染防治措施和投诉电话等信息自觉接受社会监督。
鞍山市矿山扬尘污染防治规定,,,,,第八条 矿山企业应当采取下列扬尘防治措施应当采用湿式或干式带收尘等凿岩设备进行钻孔作业理工序应当在封闭空间进行产尘点位需设置除尘设施。因生产工艺、设备原因不能封闭的应当设置有效抑尘措施扫、洒水气温在冰点以上等措施在运输矿石、岩石车辆出入的矿山出入口应当建设轮胎冲洗装置并对进出矿山的运输车辆进行冲洗作业采取外围排岩、胶带运输排岩非作业面易产尘裸露区域应当采取覆盖防尘网、喷淋等抑尘措施到界部位应当绿化复垦采用排岩机排岩的排岩机头应当设置喷淋抑尘装置网、绿化等抑尘措施其他措施防止物料遗撒、飘散措施。
鞍山市矿山扬尘污染防治规定,,,,,第九条 在矿山区域堆放、装卸易产生扬尘物料应当遵守下列防尘规定物高度的严密围挡并采取有效覆盖、喷淋等防风抑尘措施输送物料应当采用密闭结构并在装卸、落料处配备吸尘、喷淋等抑尘设施。
鞍山市矿山扬尘污染防治规定,,,,,第十条 生态环境主管部门及其委托的生态环境执法机构和其他负有矿山扬尘污染防治监督管理职责的部门应当依法对矿山企业进行现场检查。被检查者应当予以配合如实反映情况提供必要资料不得隐瞒、拒绝或者阻挠执法人员检查。实施检查的部门及其工作人员应当为被检查者保守商业秘密。
鞍山市矿山扬尘污染防治规定,,,,,第十一条 市生态环境主管部门应当会同市气象主管部门制定影响矿山扬尘污染防治的特殊气象条件提示信息发布机制并及时发布矿山扬尘工作提示信息。相关发布机制由市生态环境主管部门牵头制定于本规定施行后一年内实施。矿山企业应当根据矿山扬尘工作提示信息加强矿山扬尘管理及时停止因不利气象条件导致严重扬尘污染的有关生产作业。
鞍山市矿山扬尘污染防治规定,,,,,第十二条 违反本规定的行为依据相关法律、法规的规定予以处罚造成他人损害的依法承担民事责任构成犯罪的依法追究刑事责任。
鞍山市矿山扬尘污染防治规定,,,,,第十三条 本规定所称易产生扬尘物料是指破碎后的菱镁矿粉、破碎后的滑石矿粉、破碎后的白云石、破碎后的铁矿石、破碎后的岩石、铁精粉、铁尾矿、煤炭、煤矸石、煤渣、煤灰、水泥、石灰、石膏、砂土、生石灰、烧结矿、球团矿、焦炭、矿渣粉、生料、矿渣、硅石、石灰石、熟料、水渣、钢渣、脱硫灰、除尘灰、渣土等。
鞍山市矿山扬尘污染防治规定,,,,,第十四条 本规定自 2024 年 7 月 1 日起施行。
