文件名,编,分编,章,节,内容
马鞍山市海绵城市建设管理条例,,,第一章 总 则,,第一条 为了规范海绵城市建设管理保护和改善城市生态环境建设长三角滨江多雨工矿型海绵城市实现雨水自然积存、自然渗透、自然净化推动绿色发展促进人与自然和谐共生根据有关法律、行政法规结合本市实际制定本条例。
马鞍山市海绵城市建设管理条例,,,第一章 总 则,,第二条 本条例适用于本市行政区域内的海绵城市建设管理活动。
马鞍山市海绵城市建设管理条例,,,第一章 总 则,,第三条 海绵城市建设管理应当遵循生态优先、自然循环、规划引领、统筹推进、政府引导、社会参与的原则。
马鞍山市海绵城市建设管理条例,,,第一章 总 则,,第四条 市、县区人民政府负责统筹推进海绵城市建设管理工作将海绵城市工作纳入国民经济和社会发展规划建立综合协调机制协调解决海绵城市有关重大问题。开发区园区管委会在本级人民政府授权的范围内做好管理区域内海绵城市建设管理相关工作。
马鞍山市海绵城市建设管理条例,,,第一章 总 则,,第五条 住房和城乡建设部门是海绵城市建设管理的主管部门负责统筹协调、技术指导、监督管理等工作。发展改革、教育、财政、生态环境、交通运输、农业农村、水利、商务、文化旅游、卫生健康、应急管理、城市管理、自然资源和规划等有关部门和机构按照各自职责负责海绵城市建设管理相关工作。
马鞍山市海绵城市建设管理条例,,,第一章 总 则,,第六条 鼓励高等院校、科研机构和企业参与海绵城市相关工作研发、推广、应用海绵城市新技术、新工艺、新材料、新设备。工矿企业应当因地制宜开展厂区、矿区特色海绵设施建设改善厂区、矿区生态环境建设绿色智能工厂。
马鞍山市海绵城市建设管理条例,,,第二章 规划设计,,第七条 编制或者修编国土空间总体规划应当贯彻海绵城市理念编制海绵城市篇章保护、恢复、拓展城市自然调蓄行泄空间落实雨水年径流总量控制率指标要求保护自然生态空间格局。编制或者修编详细规划应当落实海绵城市指标要求建立控制性规划与海绵城市指标管理体系。
马鞍山市海绵城市建设管理条例,,,第二章 规划设计,,第八条 市、县区住房和城乡建设部门分别组织编制市、县区海绵城市专项规划报本级人民政府批准后实施。编制或者修改城市道路、绿地、水系、排水防涝、地下空间等专项规划应当与海绵城市专项规划充分衔接。
马鞍山市海绵城市建设管理条例,,,第二章 规划设计,,第九条 市住房和城乡建设等有关部门应当围绕建设长三角滨江多雨工矿型海绵城市的目标编制海绵城市规划设计导则、运行维护规程等文件完善本市海绵城市技术标准体系。
马鞍山市海绵城市建设管理条例,,,第二章 规划设计,,第十条 市、县区人民政府应当统筹做好新建区域和已建区域海绵城市规划工作按照排水分区、污水集中处理分区的特点科学确定不同区域、不同项目类别的海绵城市指标要求。城市新建区域应当进行海绵城市规划全过程管控保持和改善开发建设前的雨水径流特征实现城市水体自然健康循环。城市已建区域应当以解决城市内涝、雨水收集利用、水体统筹治理为重点结合城市更新、园区改造、环境提升改造、河湖水系保护因地制宜推进海绵城市建设。
