文件名,编,分编,章,节,内容
鸡西市养犬管理条例,,,,,第一条 为了加强养犬管理规范养犬行为保障公民健康和人身安全维护社会公共秩序和市容环境卫生建设文明城市根据有关法律、法规结合本市实际制定本条例。
鸡西市养犬管理条例,,,,,第二条 本市行政区域内养犬个人或者单位以下统称养犬人的养犬行为以及相关管理活动适用本条例。军用、警用和动物园、科研机构、专业表演团体等饲养的特定用途犬只的管理依照有关规定执行。
鸡西市养犬管理条例,,,,,第三条 养犬管理坚持管理与服务相结合、监督与引导相结合、惩罚与教育相结合、政府部门监管与社会各方参与相结合的原则。
鸡西市养犬管理条例,,,,,第四条 市、县市、区人民政府应当加强对养犬管理工作的领导组织协调有关部门解决养犬管理中的重大问题将养犬管理作为文明城市建设和社会综合治理的重要内容。养犬管理经费应当纳入同级财政预算。
鸡西市养犬管理条例,,,,,第五条 公安机关是养犬管理工作的主管部门负责组织实施养犬登记建立养犬信息化管理系统捕捉狂犬、流浪犬管理犬只收容留检场所依法查处违法养犬行为。公安机关可以委托符合法律、法规规定条件的组织实施养犬管理的具体事务。城市管理综合执法部门负责查处影响市容和环境卫生的养犬行为指导、监督公共场所依法设置犬只禁入标识。农业农村部门负责犬只免疫、检疫和疫情监测实施犬只诊疗、防疫监督管理指导死亡犬只无害化处理等工作。卫生健康部门负责犬伤患者处置、狂犬病人诊治、人用狂犬病疫苗接种等工作。市场监督管理部门负责涉犬经营活动的登记和监督管理。教育、民政、财政、生态环境、住房和城乡建设、交通运输等部门应当在各自职责范围内做好相关工作。
鸡西市养犬管理条例,,,,,第六条 乡镇人民政府、街道办事处应当结合本地实际组织协调居村民委员会做好本辖区流浪犬的控制和处置防止疫病传播。居村民委员会应当将养犬活动纳入基层网格化管理协助有关部门做好养犬管理工作负责收集本居住区内养犬相关信息引导、督促养犬人依法养犬、文明养犬依法调解因养犬引发的纠纷。居村民委员会可以制定文明养犬公约并组织实施。物业服务人应当对本物业管理区域内的犬只建立档案规划设定犬只活动区域开展巡视检查协助解决纠纷劝阻违法养犬行为记录犬吠扰民、犬只伤人情况并及时向公安机关报告。未委托物业服务人实施物业管理的区域由居村民委员会开展相关工作。
鸡西市养犬管理条例,,,,,第七条 市、县市、区人民政府以及有关部门、乡镇人民政府、街道办事处、居村民委员会、物业服务人、有关行业协会、动物保护组织应当通过多种形式开展依法养犬、文明养犬、狂犬病防治宣传教育督促养犬人遵守养犬行为规范。报刊、广播、电视和有关新闻媒体应当开展养犬管理公益宣传引导养犬人依法养犬、文明养犬。
鸡西市养犬管理条例,,,,,第八条 鼓励有关行业协会、动物保护组织等社会组织依法参与养犬管理活动制定行业规范倡导依法文明养犬协助有关部门做好养犬管理、宣传教育工作。
鸡西市养犬管理条例,,,,,第九条 任何单位和个人有权对违法养犬行为进行劝阻并可以通过公安 110 报警电话或者 12345 政务服务便民热线进行举报和投诉。相关部门接到举报、投诉后应当及时处理并在十个工作日内将处理情况告知举报人、投诉人。对举报人、投诉人的相关信息应当予以保密。
鸡西市养犬管理条例,,,,,第十条 养犬管理实行重点管理区和一般管理区分区管理。重点管理区由市、县市、区人民政府根据本地经济社会发展实际、城镇建设现状、人口居住密度等情况确定和调整并向社会公布。一般管理区为重点管理区以外的区域。重点管理区内个人养犬每户限养一只不得饲养烈性犬只、禁养的大型犬只。烈性犬只的品种目录、禁养的大型犬只的标准由公安机关会同农业农村部门、相关行业协会根据国家有关规定和实际需要确定和调整并向社会公布。
鸡西市养犬管理条例,,,,,第十一条 养犬人应当按照国家和省有关规定为犬龄满三个月或者免疫间隔期满的犬只定期免疫接种狂犬病疫苗并取得犬只免疫证明。农业农村部门应当统一免疫证明样式按照合理布局、方便接种的原则设置犬只免疫服务场所并向社会公布。
