文件名,编,分编,章,节,内容
黄南藏族自治州传统村落保护条例,,,第一章 总 则,,第一条 为了加强传统村落的保护发展传承和弘扬优秀传统文化建设美丽乡村促进乡村振兴根据《中华人民共和国城乡规划法》《历史文化名城名镇名村保护条例》等法律、法规结合本州实际制定本条例。
黄南藏族自治州传统村落保护条例,,,第一章 总 则,,第二条 本州行政区域内传统村落保护发展适用本条例。本条例所称传统村落是指拥有物质形态和非物质形态文化遗产具有较高的历史、文化、科学、艺术、社会、经济价值能够体现传统风貌、民族文化和地域特色并列入县级以上传统村落名录管理的村落。
黄南藏族自治州传统村落保护条例,,,第一章 总 则,,第三条 传统村落保护发展应当坚持政府引导、规划先行、保护优先、社会参与、合理利用、活态传承、兼顾发展的原则。
黄南藏族自治州传统村落保护条例,,,第一章 总 则,,第四条 州、县市人民政府应当加强对传统村落保护发展工作的领导将传统村落保护发展纳入国民经济和社会发展规划、国土空间规划按照相关规定所需费用纳入同级财政预算整合财政资金统筹解决本行政区域传统村落保护发展中的重大问题。州、县市人民政府应当建立传统村落保护发展协调机制和考核、巡查制度加强对传统村落保护发展工作的监督管理。
黄南藏族自治州传统村落保护条例,,,第一章 总 则,,第五条 传统村落所在地乡镇人民政府履行下列职责规划门开展专项治理和监督检查开展群众性的消防工作隐患排查等工作
黄南藏族自治州传统村落保护条例,,,第一章 总 则,,第六条 传统村落所在地村民委员会依法开展下列工作落保护宣传工作增强村民传统村落保护意识促村民依法保护文物、非物质文化遗产合理使用传统建筑人民政府或者县市人民政府有关部门报告做好消防安全工作资料收集整理、调查统计和管理工作
黄南藏族自治州传统村落保护条例,,,第一章 总 则,,第七条 州、县市人民政府住房和城乡建设部门负责本行政区域内传统村落保护发展的指导和监督管理与相关部门建立联系协商机制协同开展传统村落保护发展工作。州、县市人民政府发展和改革、财政、文体旅游广电、农牧、自然资源、生态环境、林业和草原、水利、科技、交通运输、民族宗教、市场监管、公安、司法行政、应急管理、统计、档案等相关职能部门应当按照各自职责做好传统村落保护发展的相关工作。
黄南藏族自治州传统村落保护条例,,,第一章 总 则,,第八条 鼓励公民、法人和其他组织通过依法捐赠、捐助、投资、入股、租赁和提供技术服务等方式参与传统村落保护发展。
黄南藏族自治州传统村落保护条例,,,第一章 总 则,,第九条 州、县市人民政府及其有关部门、乡镇人民政府应当加强传统村落保护宣传工作增强全社会传统村落保护意识。新闻媒体应当开展传统村落保护公益宣传。
黄南藏族自治州传统村落保护条例,,,第二章 规划编制,,第十条 申报传统村落应当按照国家、省、州、县市规定的程序提出申请并向有关机关报请批准和认定。
黄南藏族自治州传统村落保护条例,,,第二章 规划编制,,第十一条 传统村落经批准公布之日起一年内所在地县定程序报请批准。
