文件名,编,分编,章,节,内容
黑龙江省专利保护条例,,,,,第一条 为保护专利权维护专利申请人、专利权人的合法权益和社会公共利益鼓励发明创造、技术创新推动科技进步和经济社会发展根据《中华人民共和国专利法》、《中华人民共和国专利法实施细则》等有关法律、行政法规的规定结合本省实际制定本条例。
黑龙江省专利保护条例,,,,,第二条 本省行政区域内的专利管理、专利纠纷的行政处理和调解以及有关专利违法行为的查处等活动适用本条例。
黑龙江省专利保护条例,,,,,第三条 县级以上人民政府应当加强对专利工作的领导将专利保护工作纳入地方经济发展总体规划对有重大贡献的专利发明人或者设计人给予奖励。
黑龙江省专利保护条例,,,,,第四条 市  行署  级以上人民政府专利管理部门负责本行政区域内专利保护工作并负责组织实施本条例。县市、区人民政府专利管理部门协助上级专利管理部门处理有关专利纠纷和查处假冒他人专利、冒充专利行为。科技、财政、工商、海关、公安、质量技术监督、新闻出版等有关部门应当按照各自职责做好专利保护工作。
黑龙江省专利保护条例,,,,,第五条 省、市  行署  人民政府专利管理部门设立专门机构或者配备专职人员处理专利侵权纠纷、调解专利纠纷、查处假冒他人专利和冒充专利行为。
黑龙江省专利保护条例,,,,,第六条 鼓励企业、事业单位和其他有关组织建立专利保护制度做好专利保护工作。
黑龙江省专利保护条例,,,,,第七条 鼓励组织和个人对假冒他人专利或者冒充专利行为向专利管理部门举报。
黑龙江省专利保护条例,,,,,第八条 鼓励单位或者个人将其具备申请专利条件的发明创造及时向国内、国外申请专利。县级以上人民政府可以设立专利资助资金用于开发拥有自主知识产权的先进技术扶持单位和个人申请专利支持技术含量高的专利项目的实施。
黑龙江省专利保护条例,,,,,第九条 在专利申请公布或者公告前与发明创造技术方案有关的人员对该技术方案负有保密义务。专利管理部门及其工作人员在行政执法过程中对当事人的技术秘密和商业秘密负有保密义务。
黑龙江省专利保护条例,,,,,第十条 凡由政府有关部门资助从事自然科学研究、科技攻关、科技成果产业化项目的单位和个人应当在计划任务书务项目取得成果后无正当理由未申请专利的政府有关部门不予验收。
黑龙江省专利保护条例,,,,,第十一条 申请人或者申报人有下列情形之一的应当向政府主管部门出具有法定机构专利检索内容的报告申报前不能明确该项目的专利权法律状态的。以专利技术作为投资申办企业的应当提交相关证明文件证明出资者对该技术成果拥有权利属于实用新型专利的技术还应当提交专利检索报告。
黑龙江省专利保护条例,,,,,第十二条 展览会、洽谈会、博览会、交易会等会展活动的举办者对标有专利标记的参展产品或者技术应当查验其专利证书或者专利许可合同。对未能提供专利证书或者专利许可合同的举办者应当拒绝其以专利产品、专利技术的名义进场参展。
黑龙江省专利保护条例,,,,,第十三条 专利服务中介机构及其工作人员应当依法开展中介服务不得出具虚假报告不得与当事人串通谋取不正当利益不得损害其他当事人的合法权益和社会公共利益。
