文件名,编,分编,章,节,内容
黑龙江省企业事业单位公开管理条例,,,,,第一条 为了加强企业、事业单位的民主管理和民主监督保障职工的合法权益促进企业、事业单位发展根据《中华人民共和国宪法》和《中华人民共和国劳动法》、《中华人民共和国工会法》及其他有关法律、法规结合本省实际制定本条例。
黑龙江省企业事业单位公开管理条例,,,,,第二条 本条例所称的公开管理是指企业、事业单位将重要决策、生产经营管理的重大事项、涉及职工切身利益的事项和领导班子建设及廉政建设的事项等向职工公开并接受职工监督的活动。
黑龙江省企业事业单位公开管理条例,,,,,第三条 本省行政区域内的企业、事业单位的公开管理适用本条例。
黑龙江省企业事业单位公开管理条例,,,,,第四条 实行公开管理应当遵循依法、真实、全面和及时的原则。实行公开管理应当保守国家秘密和企业、事业单位的商业、技术、组织秘密。
黑龙江省企业事业单位公开管理条例,,,,,第五条 省、市地、县市、区应当确定相应机构负责对本行政区域内企业、事业单位的公开管理工作进行组织、检查和监督。省、市地、县市、区工会负责公开管理机构的日常工作。
黑龙江省企业事业单位公开管理条例,,,,,第六条 国有、集体企业及其控股的混合所有制企业对下列事项应当公开 1 、发展目标和长远规划2 、改制、重组、兼并、租赁、承包、破产、拍卖方案3 、股本设计、增资扩股和股权激励方案4 、职工招聘、解聘方案。1 、年度发展目标及完成情况2 、财务管理和审计、评估结果3 、对外投资和工程建设项目招投标4 、大宗物资采购5 、租赁、承包合同及执行情况6 、目标管理落实情况7 、重要规章制度的制定和执行。1 、集体合同、劳动合同的签订和执行2 、职工工资、福利、晋级3 、奖励和惩处职工4 、职工养老、医疗等社会保障基金的缴纳5 、职工专业技术职称、职务评聘6 、企业公积金和公益金使用方案7 、职工住房公积金管理8 、劳动保护、环境保护9 、安全生产措施、安全责任事故及其处理结果10 、职工培训计划11 、破产、转制、改制企业职工安置方案。1 、中层以上领导人员、重要岗位人员的选聘和任用情况2 、领导人员执行廉洁自律规定的情况3 、领导人员工资、奖金和持有本单位股权的情况4 、领导人员任期经济责任审计结果5 、招待费使用情况6 、民主评议领导人员情况。
黑龙江省企业事业单位公开管理条例,,,,,第七条 教育、科技、文化、卫生、体育等事业单位根据本条例第六条的规定结合本单位的实际确定公开的内容。
黑龙江省企业事业单位公开管理条例,,,,,第八条 国有、集体企业及其控股的混合所有制企业以外的其他企业下列事项应当公开行情况
黑龙江省企业事业单位公开管理条例,,,,,第九条 国有、集体企业及其控股的混合所有制企业应当成立由有关领导人员组成的公开管理领导小组负责公开管理的组织领导工作  应当成立由内部有关部门人员和职工代表组成的公开管理监督小组负责组织职工对公开管理工作进行评议和检查等监督工作。
黑龙江省企业事业单位公开管理条例,,,,,第十条 国有、集体企业及其控股的混合所有制企业以外的其他企业和教育、科技、文化、卫生、体育等事业单位应当结合单位的实际确定相应的公开管理组织机构或者管理人员。
黑龙江省企业事业单位公开管理条例,,,,,第十一条 企业、事业单位的法定代表人是公开管理工作的主要责任人。
黑龙江省企业事业单位公开管理条例,,,,,第十二条 企业、事业单位公开事项应当通过下列形式
黑龙江省企业事业单位公开管理条例,,,,,第十三条 企业、事业单位可以根据本条例的规定制定公开管理的规章制度。
黑龙江省企业事业单位公开管理条例,,,,,第十四条 职工发现本单位有违反本条例规定的有权向省、市地、县市、区公开管理机构举报公开管理机构应当及时进行调查处理。
黑龙江省企业事业单位公开管理条例,,,,,第十五条 省、市地、县市、区公开管理的机构对违反本条例规定不实行公开管理或者搞假公开的责令限期改正拒不改正的可以对其法定代表人或者主要负责人通报批评情节严重的可以建议主管部门给予相关责任人行政或者纪律处分并取消单位和相关责任人当年评选先进、授予荣誉称号的资格。
黑龙江省企业事业单位公开管理条例,,,,,第十六条 民办非企业单位的公开管理活动参照本条例的规定执行。
黑龙江省企业事业单位公开管理条例,,,,,第十七条 本条例自 2004 年 10 月 1 日 起施行。
