文件名,编,分编,章,节,内容
黑龙江省企业事业单位职工代表大会条例,,,第一章 总则,,第一条 为了保障职工行使民主管理权利维护职工合法权益促进企业、事业单位发展根据宪法和有关法律、法规结合本省实际制定本条例。
黑龙江省企业事业单位职工代表大会条例,,,第一章 总则,,第二条 本条例适用于本省行政区域内的企业、事业单位。
黑龙江省企业事业单位职工代表大会条例,,,第一章 总则,,第三条 职工代表大会是企业、事业单位实行民主管理和协调劳动关系的基本形式是职工行使民主管理权力的机构。
黑龙江省企业事业单位职工代表大会条例,,,第一章 总则,,第四条 县级以上人民政府及其有关部门负责监督检查本条例的执行。县级以上总工会和产业工会指导职工代表大会工作支持职工代表大会依法行使职权协助有关部门监督、检查本条例的贯彻执行。
黑龙江省企业事业单位职工代表大会条例,,,第一章 总则,,第五条 企业、事业单位应当支持和保障职工通过职工代表大会行使民主管理权利。
黑龙江省企业事业单位职工代表大会条例,,,第二章 组织制度,,第六条 职工人数不足100 人的企业、事业单位应当建立职工大会制度职工人数100 人以上的企业、事业单位应当建立职工代表大会制度。
黑龙江省企业事业单位职工代表大会条例,,,第二章 组织制度,,第七条 职工代表大会每届任期应当与本单位工会委员会的任期相同每年至少召开一次会议。遇有重大事项经单位法定代表人或者主要负责人、工会委员会或者三分之一以上职工代表提议应当及时召开职工代表大会会议。
黑龙江省企业事业单位职工代表大会条例,,,第二章 组织制度,,第八条 职工代表人数由单位在下列幅度内确定职工人数100 人以上不足1000 人的单位职工代表人数30人以上200 人以下职工人数1000 人以上不足5000 人的单位职工代表人数200 人以上300 人以下职工人数5000 人以上不足 10000 人的单位职工代表人数 300 人以上 400 人以下职工人数 10000 人以上的单位职工代表人数 400 人以上 500 人以下。
黑龙江省企业事业单位职工代表大会条例,,,第二章 组织制度,,第九条 召开职工代表大会会议应当有三分之二以上的职工代表出席。职工代表大会进行表决和选举时应当采用无记名投票方式并获得全体职工代表过半数赞成票通过。
黑龙江省企业事业单位职工代表大会条例,,,第二章 组织制度,,第十条 职工代表大会选举主席团主持会议。主席团成员中普通职工和中层以下管理人员代表应当超过半数。
