文件名,编,分编,章,节,内容
黑龙江省地方各级人民代表大会代表工作条例,,,第一章 总 则,,第一条 为保证本省地方各级人民代表大会代表以及本省选举产生的全国人民代表大会代表依法行使代表职权充分发挥代表作用根据《中华人民共和国全国人民代表大会和地方各级人民代表大会代表法》以下简称代表法以及其他有关法律法规结合本省实际情况制定本条例。
黑龙江省地方各级人民代表大会代表工作条例,,,第一章 总 则,,第二条 地方各级人民代表大会代表是地方各级国家权力机关组成人员代表人民的利益和意志依照宪法和法律赋予本级人民代表大会的各项职权参加行使国家权力。
黑龙江省地方各级人民代表大会代表工作条例,,,第一章 总 则,,第三条 代表必须模范地遵守宪法和法律保守国家秘密在自己参加的生产、工作和社会活动中协助宪法和法律的实施。代表应当与原选区选民或者原选举单位和人民群众保持密切联系听取和反映他们的意见和要求努力为人民服务。
黑龙江省地方各级人民代表大会代表工作条例,,,第一章 总 则,,第四条 代表依照代表法的规定在本级人民代表大会会议期间的工作和在本级人民代表大会闭会期间的活动都是执行代表职务。
黑龙江省地方各级人民代表大会代表工作条例,,,第一章 总 则,,第五条 国家和社会为代表执行代表职务提供保障。本省内的一切组织和个人都必须尊重代表的权利支持代表执行代表职务。
黑龙江省地方各级人民代表大会代表工作条例,,,第一章 总 则,,第六条 代表受原选区选民或者原选举单位的监督。选民或者选举单位有权依法罢免自己选出的代表。
黑龙江省地方各级人民代表大会代表工作条例,,,第二章 代表执行职务,,第七条 代表应当按时出席本级人民代表大会会议依法行使代表的职权。
黑龙江省地方各级人民代表大会代表工作条例,,,第二章 代表执行职务,,第八条 代表在本级人民代表大会会议期间的工作审议列入大会议程的各项议案和报告。属于本级人民代表大会职权范围内的议案议案应当有案由、案据和方案也可以在大会闭会期间提出。出询问。规定的程序提出对本级人民政府及其所属各部门人民法院人民检察院的质询案乡、民族乡、镇的人民代表大会代表有权依照法律规定的程序提出对本级人民政府的质询案。规定的程序提出对本级人民代表大会常务委员会组成人员人民政府组成人员人民法院院长人民检察院检察长的罢免案乡、民族乡、镇的人民代表大会代表有权依照法律规定的程序提出对本级人民政府领导人员的罢免案罢免案应当写明罢免的理由。组织关于特定问题的调查委员会。
黑龙江省地方各级人民代表大会代表工作条例,,,第二章 代表执行职务,,第九条 代表有权向本级人民代表大会及其常务委员会和乡、民族乡、镇的人民代表大会提出对各方面工作的建议、批评和意见可以在大会会议期间提出也可以在大会闭会期间提出可以由一人提出也可以由代表联名提出。由本级人民代表大会常务委员会或者乡、民族乡、镇的人民代表大会交本级有关机关和组织研究处理并答复代表。
黑龙江省地方各级人民代表大会代表工作条例,,,第二章 代表执行职务,,第十条 县级以上的各级人民代表大会常务委员会组织本级人民代表大会代表开展闭会期间的活动。县级以上的地方各级人民代表大会常务委员会受上一级人民代表大会常务委员会的委托组织本级人民代表大会选举产生的上一级人民代表大会代表开展闭会期间的活动。
黑龙江省地方各级人民代表大会代表工作条例,,,第二章 代表执行职务,,第十一条 代表在本级人民代表大会闭会期间以集体活动为主按照便于组织和开展活动的原则组织代表小组并以代表小组活动为基本形式。代表编组应当确定小组召集人和小组联络员可以结合职业特点按照专业编组。县级以上的各级人民代表大会代表可以参加下级人民代表大会代表的代表小组活动。
黑龙江省地方各级人民代表大会代表工作条例,,,第二章 代表执行职务,,第十二条 代表小组应当建立健全制度制定年度活动计划。活动的主要内容民代表大会及其常务委员会的决议、决定要求其他活动。县级以上地方各级人民代表大会常务委员会和乡、民族乡、镇的人民代表大会要对代表小组开展活动进行指导和服务提高活动质量和实效。
黑龙江省地方各级人民代表大会代表工作条例,,,第二章 代表执行职务,,第十三条 县级以上地方各级人民代表大会代表根据本级人民代表大会常务委员会的统一安排对本级或者下级国家机关和有关单位的工作进行视察。代表按前款规定进行的视察可以提出约见本级或者下级有关国家机关负责人。由本级或者下级人民代表大会常务委员会办事机构负责联系安排约见事宜。被约见的有关国家机关负责人或者由他委托的负责人员应当认真听取代表的建议、批评和意见回答有关问题。代表可以持代表证就地进行视察。县级以上地方各级人民代表大会常务委员会根据代表的要求联系安排本级或者上级的代表持代表证就地进行视察。
黑龙江省地方各级人民代表大会代表工作条例,,,第二章 代表执行职务,,第十四条 县级以上地方各级人民代表大会代表根据本级人民代表大会常务委员会的安排每年进行一次专题调研。专题调研结束后应当形成调查报告送交本级人民代表大会常务委员会相关办事机构研究处理。
黑龙江省地方各级人民代表大会代表工作条例,,,第二章 代表执行职务,,第十五条 县级以上的各级人民代表大会常务委员会组织有本选举单位选举产生的上一级代表参加的视察和调研结束后形成的相关报告应当送交上一级人民代表大会常务委员会相关办事机构。
黑龙江省地方各级人民代表大会代表工作条例,,,第二章 代表执行职务,,第十六条 县级以上地方各级人民代表大会常务委员会可以根据工作需要统一组织安排代表跨选区或者选举单位的行政区域进行调研或者考察。
黑龙江省地方各级人民代表大会代表工作条例,,,第二章 代表执行职务,,第十七条 代表有权依照法律规定的程序提议临时召集本级人民代表大会会议。
黑龙江省地方各级人民代表大会代表工作条例,,,第二章 代表执行职务,,第十八条 代表可以应邀列席本级人民代表大会常务委员会、专门委员会以及选举单位的人民代表大会及其常务委员会会议发表意见。
黑龙江省地方各级人民代表大会代表工作条例,,,第二章 代表执行职务,,第十九条 县级以上地方各级人民代表大会常务委员会可以组织本级代表旁听本级或者下级人民法院的案件审判。
黑龙江省地方各级人民代表大会代表工作条例,,,第二章 代表执行职务,,第二十条 代表应当与原选区选民或者原选举单位保持密切联系。可以通过代表小组召开座谈会、走访、设立代表电子信箱或者网站、公开代表联系方式等多种形式听取和反映选区选民或者原选举单位的意见和要求。对代表转交的人民群众的申诉、控告、检举等信件和当面反映的有关问题由人民代表大会常务委员会相关办事机构转有关机关、组织研究处理并负责答复。省和设区的市的人民代表大会代表每年必须参加一次选举单位组织的代表活动。
黑龙江省地方各级人民代表大会代表工作条例,,,第三章 代表执行职务的保障,,第二十一条 代表在人民代表大会各种会议上的发言和表决不受法律追究。
黑龙江省地方各级人民代表大会代表工作条例,,,第三章 代表执行职务的保障,,第二十二条 县级以上的各级人民代表大会代表非经本级人民代表大会主席团许可在本级人民代表大会闭会期间非经本级人民代表大会常务委员会许可不受逮捕或者刑事审判。如果因为是现行犯被拘留执行拘留的机关应当立即向该级人民代表大会主席团或者人民代表大会常务委员会报告。对县级以上的各级人民代表大会代表如果采取法律规定的其他限制人身自由的措施应当经该级人民代表大会主席团或者人民代表大会常务委员会许可。乡、民族乡、镇的人民代表大会代表如果被逮捕、受刑事审判、或者被采取法律规定的其他限制人身自由的措施执行机关应当立即报告乡、民族乡、镇的人民代表大会。
黑龙江省地方各级人民代表大会代表工作条例,,,第三章 代表执行职务的保障,,第二十三条 县级以上地方各级人民代表大会常务委员会应当为代表提供多方面的信息印发有关材料订阅报刊扩大对常委会活动的参与组织代表参加执法检查和专题调研深入审议各项议案和报告等为代表执行职务提供必要条件。各级人民政府、人民法院、人民检察院应当向本级人民代表大会代表通报本行政区域内重大事项并提供相关工作资料。
黑龙江省地方各级人民代表大会代表工作条例,,,第三章 代表执行职务的保障,,第二十四条 代表在本级人民代表大会闭会期间参加代表活动代表所在单位必须给予时间保障县级以上代表一般每年不少于 15 天乡、民族乡、镇的代表一般每年不少于 7 天。少数民族代表执行代表职务时有关部门应当在语言文字、生活习惯等方面给予必要的帮助和照顾。代表执行代表职务其所在单位应当按正常出勤对待享受所在单位的工资、奖金和其他待遇等各项保障。无固定工资收入的代表执行代表职务由本级财政给予适当补贴。
黑龙江省地方各级人民代表大会代表工作条例,,,第三章 代表执行职务的保障,,第二十五条 代表的活动经费应当列入本级财政预算专款专用并随着财政收入的增长逐步增加。各级人民代表大会常务委员会代表办事机构负责本级代表活动经费的使用和管理。
黑龙江省地方各级人民代表大会代表工作条例,,,第三章 代表执行职务的保障,,第二十六条 县级以上地方各级人民代表大会常务委员会应当设立代表工作机构为代表执行职务提供服务。
黑龙江省地方各级人民代表大会代表工作条例,,,第三章 代表执行职务的保障,,第二十七条 县级以上地方各级人民代表大会常务委员会和乡、民族乡、镇的人民代表大会应当建立健全与本级代表联系制度可以通过走访代表、接待代表来访、召开座谈会、设立主任接待日或者代表信箱等保持与代表联系。
黑龙江省地方各级人民代表大会代表工作条例,,,第三章 代表执行职务的保障,,第二十八条 县级以上地方各级人民代表大会常务委员会和乡、民族乡、镇的人民代表大会建立和完善代表系统学习培训制度提高代表执行职务能力。
黑龙江省地方各级人民代表大会代表工作条例,,,第三章 代表执行职务的保障,,第二十九条 县级以上各级人民代表大会常务委员会和乡、民族乡、镇的人民代表大会应当完善代表议案建议、批评和意见办理机制保障代表议案建议、批评和意见的提出及处理质量。
黑龙江省地方各级人民代表大会代表工作条例,,,第三章 代表执行职务的保障,,第三十条 县级以上地方各级人民代表大会常务委员会和乡、民族乡、镇的人民代表大会应当适时总结和推广代表及代表小组的先进事迹和经验。
黑龙江省地方各级人民代表大会代表工作条例,,,第三章 代表执行职务的保障,,第三十一条 本省一切组织和个人都必须支持代表执行代表职务。有义务协助代表执行代表职务而拒绝履行义务的有关单位应当予以批评教育直至给予行政处分。阻碍代表依法执行代表职务的根据情节由所在单位或者上级机关给予行政处分或者依照治安管理处罚法进行处罚以暴力、威胁方法阻碍代表依法执行代表职务的依照刑法追究刑事责任。对代表依法执行代表职务进行打击报复的由所在单位或者上级机关责令改正或者给予行政处分国家工作人员进行打击报复构成犯罪的依照刑法追究刑事责任。
黑龙江省地方各级人民代表大会代表工作条例,,,第四章 代表执行职务的规范,,第三十二条 代表应当把依法执行代表职务与从事个人职业活动严格区别不得借执行代表职务进行个人职业活动。代表执行代表职务活动不得接受企业事业组织、社会团体和个人出资赞助。代表在视察时可以向被视察单位提出建议、批评和意见但不直接处理问题。代表个人不得干预具体司法案件的审理和执行在执行职务时对涉及个人和亲属的具体案件应当回避。
黑龙江省地方各级人民代表大会代表工作条例,,,第四章 代表执行职务的规范,,第三十三条 代表因故不能出席本级人民代表大会会议、在会议期间不能继续出席会议、不能参加闭会期间本级和下一级人民代表大会常务委员会组织的活动时应当请假。
黑龙江省地方各级人民代表大会代表工作条例,,,第四章 代表执行职务的规范,,第三十四条 县级以上地方各级人民代表大会常务委员会和乡、民族乡、镇人民代表大会应当建立健全本级代表执行代表职务档案记载代表执行代表职务的情况对代表执行职务进行跟踪服务。
黑龙江省地方各级人民代表大会代表工作条例,,,第四章 代表执行职务的规范,,第三十五条 直接选举产生的代表受选区选民的监督间接选举产生的代表受选举单位的监督。代表有下列情况之一的选民或者原选举单位有权依法罢免自己选出的代表的。被罢免的代表有权出席罢免该代表的会议申诉意见或者书面申诉意见。
