文件名,编,分编,章,节,内容
黑龙江省林长制条例,,,,,第一条 为了保障和促进林长制实施保护和发展林草资源加强生态文明建设筑牢北方生态安全屏障推进绿色龙江、美丽龙江建设根据《中华人民共和国森林法》等有关法律、行政法规结合本省实际制定本条例。
黑龙江省林长制条例,,,,,第二条 本省行政区域内林长制的实施适用本条例。本条例所称林长制是指在行政区域或者生态区域内设立林长负责领导、组织、协调区域内森林、林木、林地、草地、湿地、公共绿地、野生动植物等林草资源保护发展的制度。法律、行政法规对林长制另有规定的从其规定。
黑龙江省林长制条例,,,,,第三条 实施林长制应当坚持山水林田湖草沙冰一体化保护和系统治理遵循生态优先、保护为主、绿色发展、生态惠民、问题导向、因地制宜、党委领导、部门联动的原则构建党政同责、属地负责、部门协同、源头治理、全域覆盖的长效机制。
黑龙江省林长制条例,,,,,第四条 本省全面实施林长制。实施林长制应当做好下列工作实相关法律法规打击破坏林草资源违法犯罪行为。进国土绿化实施重要生态系统的保护和修复等重点工程。控能力。推动林区林场可持续发展深化集体林权制度改革促进农民就业增收。不断完善林草资源动态监测体系提高预警预报和查处问题的能力提升林草资源保护发展数字化、智慧化管理水平。层支撑保障能力。下经济、生态旅游、森林康养、自然教育等绿色富民产业加强林区历史文化遗产保护。进林权价值增值。金使用效益。
黑龙江省林长制条例,,,,,第五条 本省设立省、市、县、乡、村五级林长组织体系。省级设总林长、副总林长、省级林长市、县、乡级设林长、副林长村级设林长结合实际分区片负责。森工、农垦企业设企业林长、副林长与其他有林草资源的中省直单位共同纳入林长制组织体系。森工企业相关负责人兼任承接林草资源行政管理权力的市接林草资源行政管理权力的市地的市级副林长。森工企业所属林业局有限公司主要负责人兼任承接林草资源行政管理权力的县市、区的县级副林长农垦企业所属农牧场有限公司主要负责人兼任承接林草资源行政管理权力的县市、区的县级副林长。
黑龙江省林长制条例,,,,,第六条 县级以上人民政府林业和草原主管部门作为林长制办事机构承担林长制组织实施的具体工作明确相关工作人员。县级以上人民政府发展和改革、公安、财政、自然资源、生态环境、住房和城乡建设城市管理、交通运输、水行政、农业农村、文化和旅游、应急管理、国有资产监督管理等部门应当加强协作配合按照职责分工做好林长制相关工作。
黑龙江省林长制条例,,,,,第七条 县级以上人民政府应当为村居民委员会开展林长制工作提供必要的条件。乡镇人民政府街道办事处、村居民委员会应当明确承担林长制工作的机构或者人员。
黑龙江省林长制条例,,,,,第八条 各级林长根据相应的职责权限负责贯彻落实国家生态文明建设方针政策和林草资源保护发展法律法规组织领导责任区域林草资源保护发展工作组织制定林草资源保护发展规划计划协调解决责任区域的重点难点问题。
黑龙江省林长制条例,,,,,第九条 省级总林长负责组织领导全省林草资源保护发展工作对各级林长制的建立和实施进行总督导研究解决林草行业建设发展中遇到的重大问题。省级副总林长协助总林长工作指导省级林长制办事机构和有关单位开展林长制相关工作。省级林长负责督导责任区域内林长制工作落实协调解决责任区域内的重大问题。市级林长负责组织领导责任区域内林草资源保护发展工作贯彻落实国家和省关于林草资源保护、生态文明建设的决策部署协调解决责任区域内的林草资源保护、生态修复、行政执法等有关问题。
黑龙江省林长制条例,,,,,第十条 县级林长履行下列职责发展目标组织领导林草资源保护、修复等生态文明建设工作展绿色富民经济量精准提升工程适度发展林下经济加强林区历史文化遗产保护升林草行业行政执法工作质量保障林草资源安全增强社会公众生态保护意识
黑龙江省林长制条例,,,,,第十一条 乡级林长履行下列职责理建立基层护林组织体系训和日常管理体科学发展绿色富民产业
黑龙江省林长制条例,,,,,第十二条 村级林长履行下列职责管护区域严格生态护林员的日常监督管理和相关部门报告并采取必要处理措施协助做好相关隐患整改工作
黑龙江省林长制条例,,,,,第十三条 企业林长参照对应层级林长工作职责按照职责分工重点履行企业管护区内林草资源的经营保护职责巩固国有林区、垦区改革成果发展林草产业加强林草资源资产和资金管理。
黑龙江省林长制条例,,,,,第十四条 省、市、县三级建立林长会议制度研究解决林长制实施和林草资源及其生态系统保护发展中的重大问题确定林长制年度工作计划。省、市、县级林长每年应当至少组织召开一次林长会议。
黑龙江省林长制条例,,,,,第十五条 各级林长应当按照有关规定开展巡查工作。省级总林长、副总林长、省级林长每年巡查一次市级林长、副林长每半年巡查一次县级林长、副林长乡级林长、副林长每季度巡查一次村级林长每月至少巡查一次。企业林长可以参考对应层级频次开展巡查工作。
黑龙江省林长制条例,,,,,第十六条 省、市、县三级建立林长、河湖长、田长生态保护联动机制推动林草资源、水资源、黑土地协同保护。建立林长警长执法工作机制推进林业和草原主管部门与公安机关协调联动依法、规范行使行政处罚权。建立林长警长检察长法院院长协作机制。推动行政执法和刑事司法有效衔接发挥公益诉讼监督作用依法查处破坏林草资源违法犯罪行为。根据工作需要可以建立跨责任区域的工作协调机制。
黑龙江省林长制条例,,,,,第十七条 各级林长制办事机构应当向社会公开同级总林长、副总林长、林长、副林长名单及其责任区域接受社会监督。乡级林长、副林长和村级林长名单及其责任区域由县级林长制办事机构向社会公开。林长公示牌应当设立在责任区域显著位置公示牌内容包含林长、副林长的姓名、职务、职责、责任区域、举报电话等信息。相关信息发生变化的应当及时更新。
