文件名,编,分编,章,节,内容
黑龙江省森林植物园保护条例,,,,,第一条 为了加强黑龙江省森林植物园以下简称植物园的保护充分发挥其科研、科普、教育、示范基地作用及调节城市生态环境和休闲观赏功能根据《中华人民共和国森林法》、《中华人民共和国自然保护区条例》等法律、法规制定本条例。
黑龙江省森林植物园保护条例,,,,,第二条 植物园位于哈尔滨市动力区  总面积 136 公顷其范围以国家批准的建园规划为准。
黑龙江省森林植物园保护条例,,,,,第三条 任何单位和个人从事与植物园有关活动的应当遵守本条例。
黑龙江省森林植物园保护条例,,,,,第四条 省林业行政主管部门为植物园行政主管部门。植物园管理机构负责具体管理工作。其主要职责是编制植物园建设发展规划制定各项管理制度并组织实施林防火和病虫鼠害的防治工作繁育优良苗木、花卉学知识和森林生态功能宣传教育开展森林生态旅游为社会科研、教学、参观、考察提供服务
黑龙江省森林植物园保护条例,,,,,第五条 植物园的保护和建设应当纳入省人民政府国民经济和社会发展计划。
黑龙江省森林植物园保护条例,,,,,第六条 植物园所在地的市、区人民政府对植物园负有保护责任在植物园的保护和建设方面应当给予扶持。植物园管理机构应当遵守所在地市、区人民政府依法制定的有关社会事务管理等规定。
黑龙江省森林植物园保护条例,,,,,第七条 任何单位和个人都有保护植物园的义务对违反本条例的行为有举报和控告的权利。鼓励国内外有关单位和个人采取合资、合作、捐赠、认养等形式参与植物园的保护以及与植物园发展规划相一致的建设。对植物园保护、建设、管理和科研工作做出显著成绩的单位和个人由上级林业行政主管部门给予表彰奖励。
黑龙江省森林植物园保护条例,,,,,第八条 编制和调整植物园建设发展规划应当本着保护第一、引繁并重、布局合理、长短结合、持续发展的原则。经批准的植物园建设发展规划应当纳入城市总体规划任何单位和个人不得擅自变更。
黑龙江省森林植物园保护条例,,,,,第九条 植物园管理机构应当对植物园内植物及时进行记录管理建立栽培及资源管理档案。
黑龙江省森林植物园保护条例,,,,,第十条 植物园应当开展本省及东北地区野生珍稀濒危植物迁地保护工作引种、驯化和培育与当地生态环境相适应的温带、寒温带优良植物品种提高科研、科普、旅游、观赏价值。
黑龙江省森林植物园保护条例,,,,,第十一条 任何单位和个人不得减少植物园面积或者改变林地用途。不得在植物园内新建城市公用设施。已建的城市公用设施需要维修、改造时有关单位应当事先向植物园管理机构提出申请经与省林业行政主管部门协商一致到有关主管部门办理相关手续后方可施工。对因施工毁坏的植被和设施应当依法赔偿。植物园内不得建设与植物园建设发展规划不一致的建筑物和设施已经建设的应当拆除。
黑龙江省森林植物园保护条例,,,,,第十二条 在植物园内进行科学研究、教学实习和拍摄影视作品等活动应当事先向植物园管理机构提出申请办理批准手续在批准的范围内进行。确因科研需要对植物进行采样的须经植物园管理机构批准由植物园管理机构指定专人采集并交纳资源补偿费。
黑龙江省森林植物园保护条例,,,,,第十三条 不得采伐植物园的林木。确因防治病虫害、促进林木生长等必须采伐林木的须经省林业行政主管部门批准依法办理采伐许可证。
黑龙江省森林植物园保护条例,,,,,第十四条 省林业行政主管部门应当加强对植物园森林防火工作的领导。植物园管理机构应当建立森林防火责任制和森林防火组织做好森林火灾的预防和扑救工作并与周边单位、社区签订森林防火公约。
黑龙江省森林植物园保护条例,,,,,第十五条 植物园森林防火期为每年 3 月 15 日至 6月 15 日和 9 月 15 日至 11 月 15 日。植物园管理机构可以根据当年物候情况延长森林防火期并予以公告。
黑龙江省森林植物园保护条例,,,,,第十六条 植物园管理机构应当加强对森林病虫鼠害的防治工作确保植物资源安全。
黑龙江省森林植物园保护条例,,,,,第十七条 进入植物园的人员应当遵守植物园的各项制度服从植物园管理人员的管理。植物园内可以适当设置必要的商亭。从事商服活动的单位和个人须经植物园管理机构同意并按指定的位置经营不得有污染环境的行为。
黑龙江省森林植物园保护条例,,,,,第十八条 省林业森林公安局在植物园设立的派出机构负责植物园内植物资源和财产安全维护园区治安依法查处破坏植物园的违法行为。
黑龙江省森林植物园保护条例,,,,,第十九条 在植物园内有下列行为之一的由植物园管理机构给予处罚造成损失的依法赔偿种盗伐、盗挖株数十倍的树木或者缴纳补种树木费并处以林木价值八倍以上十倍以下的罚款者缴纳补种树木费并处以林木价值五倍的罚款修、改造的责令停止施工并处以五千元以上一万元以下的罚款或者向植物园内和围墙、围栏外侧十米范围内倾倒固体废弃物的责令停止违法行为限期清理并处以一千元以上三千元以下的罚款限期恢复或者赔偿损失并处以恢复所需实际费用或者损失金额二倍的罚款拍摄影视作品等活动的处以五百元以上一千元以下的罚款行为限期恢复原状并处以一百元以上三千元以下的罚款挖蚯蚓等破坏植被的责令其停止违法行为限期恢复原状并处以五十元以上二百元以下的罚款法行为并处以五十元以上一百元以下的罚款造成严重后果的由有关部门依法处理法规有关规定处罚种籽和其他林副产品的处以五十元以上五百元以下的罚款水瓶等垃圾的处以五十元罚款元以上一百元以下的罚款的罚款。
黑龙江省森林植物园保护条例,,,,,第二十条 植物园管理机构 违反本条例规定滥伐林木的由省林业行政主管部门没收违法所得责令补种滥伐株数五倍的树木并处以林木价值五倍的罚款。
黑龙江省森林植物园保护条例,,,,,第二十一条 植物园管理机构及其工作人员有下列行为之一的由植物园管理机构或者省林业行政主管部门对主管负责人和直接责任人给予行政处分
黑龙江省森林植物园保护条例,,,,,第二十二条 本条例自 2003 年 12 月 1 日起施行。
