文件名,编,分编,章,节,内容
黑龙江省水上搜寻救助条例,,,第一章 总 则,,第一条 为及时有效地应对水上突发事件规范水上搜寻救助活动保护水上人命安全和水域环境减少财产损失根据有关法律、行政法规结合本省实际制定本条例。
黑龙江省水上搜寻救助条例,,,第一章 总 则,,第二条 在本省行政区域内水域开展水上搜寻救助活动的单位和个人应当遵守本条例。本条例所称的水上搜寻救助是指船舶、浮动设施、民用航空器以及人员在水上遇险造成或者可能造成人员伤亡、水域污染等突发事件时水上搜救指挥中心组织、协调搜寻救助力量开展搜寻救助遇险人员控制、减轻水域污染等危害的活动。
黑龙江省水上搜寻救助条例,,,第一章 总 则,,第三条 水上搜寻救助应当优先救助人命遇险人员有获得无偿救助的权利。
黑龙江省水上搜寻救助条例,,,第一章 总 则,,第四条 水上搜寻救助实行政府领导、综合协调、分级负责、属地为主的管理体制。坚持预防与搜寻救助相结合、专业搜寻救助与社会搜寻救助相结合遵循统一指挥、就近快速的原则。
黑龙江省水上搜寻救助条例,,,第一章 总 则,,第五条 县以上人民政府应当加强对水上搜寻救助工作的领导根据工作需要建立水上搜寻救助体系完善水上搜寻救助机制加强水上搜寻救助能力建设。
黑龙江省水上搜寻救助条例,,,第一章 总 则,,第六条 县以上人民政府应当加强水上搜寻救助的宣传教育工作增强公众的水上风险防范意识和救助意识。县以上人民政府应当对在水上搜寻救助工作中做出显著贡献的单位和个人给予表彰奖励。
黑龙江省水上搜寻救助条例,,,第二章 组织任务,,第七条 县以上水上搜救指挥中心由本级人民政府有关部门和相关单位组成日常工作由各级海事管理机构承担未设海事管理机构的由本级人民政府确定的部门负责。省水上搜救指挥中心负责统一组织、协调和指挥全省的水上搜寻救助工作。市地、县水上搜救指挥中心负责统一组织、协调和指挥管辖水域的水上搜寻救助工作。
黑龙江省水上搜寻救助条例,,,第二章 组织任务,,第八条 水上搜救指挥中心成员单位工作任务日常工作的部门负责组织、协调相关船舶、浮动设施参加水上搜寻救助行动险信息和搜寻救助技术支持参加民用航空器的水上搜寻救助指挥和协调工作反应行动的重点物资和紧急客货运输根据水上搜救指挥中心的要求组织交通系统力量参与水上搜寻救助活动上事故调查处理工作水上搜寻救助活动渔船水上遇险时应当及时向水上搜救指挥中心报告急行动维护水上应急救援现场治安秩序和陆上交通管制组织力量对船舶、浮动设施等发生在水上的火灾、爆炸事故的救助并且在水上搜救指挥中心的组织下对公民人身水上遇险实施救助理工作效进行情应急行动实施现场急救协助安排医院接收获救伤员援的通信保障工作的安置与疏散工作关气象信息水上搜寻救助活动调和沟通。在水上搜寻救助工作中需要其他救助机构或者有关单位参与配合的由水上搜救指挥中心提请本级人民政府下达急救指令有关机构或者单位应当及时完成应急工作。市、县志愿者组织机构可以动员具有相关知识和技能的成年志愿者组成水上搜寻救助队伍需要时可在水上搜救指挥中心的指挥下参加水上搜寻救助。
黑龙江省水上搜寻救助条例,,,第二章 组织任务,,第九条 省水上搜救指挥中心应当与相关部门或者单位协调建立省内救助联动机制。在其他突发事件的应急活动中需要水上搜救指挥中心配合的各级水上搜救指挥中心应当服从指挥配合相关机构共同完成应急任务。
黑龙江省水上搜寻救助条例,,,第二章 组织任务,,第十条 需要省外搜寻救助力量参加水上搜寻救助行动的由省水上搜救指挥中心统一协调。外省籍船舶、浮动设施、民用航空器及其人员在本省水域发生险情的水上搜救指挥中心在开展搜寻救助的同时应当根据需要通报其所属地水上搜寻救助机构或者人民政府。省水上搜救指挥中心获悉本省籍船舶、浮动设施及其人员在省外水域发生险情的应当跟踪搜寻救助情况。需要国家搜寻救助力量和国外搜寻救助力量参加水上搜寻救助行动的由省水上搜救指挥中心向国家水上搜寻救助中心报告。
黑龙江省水上搜寻救助条例,,,第三章 预防救助,,第十一条 县以上水上搜救指挥中心应当制定并且及时修订水上搜寻救助应急预案经本级人民政府批准后报上一级水上搜救指挥中心备案。水上搜寻救助应急预案应当包括下列主要内容船舶、浮动设施的经营单位或者管理单位应当制定水上突发事件应急预案。
黑龙江省水上搜寻救助条例,,,第三章 预防救助,,第十二条 水上搜救指挥中心应当建立健全水上突发事件的预报、预警、预防制度做好预报、预警、预防工作。气象、水利、国土资源等部门应当建立信息共享机制及时收集、研究分析可能造成水上突发事件的信息并将信息及时通报当地水上搜救指挥中心。
黑龙江省水上搜寻救助条例,,,第三章 预防救助,,第十三条 县以上人民政府应当按照有关规定对专业预报、预警信息进行综合评估根据国家有关规定发布专业预报、预警信息。发布水上风险预警信息应当充分运用短信平台、新闻媒体、互联网、电子标牌等信息化手段和工具通知有关单位和个人。
黑龙江省水上搜寻救助条例,,,第三章 预防救助,,第十四条 水上搜救指挥中心应当设置并且公布水上遇险求救专用电话保持二十四小时值班。水上遇险求救专用电话可以与公安、消防报警电话建立联动机制随时接收各种水上遇险报警。水上搜救指挥中心应当组织有关部门和单位建立健全应急值班及通信联络制度确保通信联络畅通。
黑龙江省水上搜寻救助条例,,,第三章 预防救助,,第十五条 船舶、浮动设施、民用航空器在水上发生险情时船舶、浮动设施、民用航空器上的人员应当迅速将遇险的时间、地点、状况以及原因、救助要求等信息向遇险地水上搜救指挥中心报告。任何单位和个人发现或者获悉船舶、浮动设施、民用航空器以及人员在水上发生险情时应当立即向遇险地水上搜救指挥中心报告不得谎报或者故意夸大水上险情。
黑龙江省水上搜寻救助条例,,,第三章 预防救助,,第十六条 水上险情发生变化后遇险船舶、浮动设施、民用航空器上的人员及其所有人、经营人应当及时补充报告。遇险船舶、浮动设施、民用航空器上的人员经自救、他救解除险情的应当及时向遇险地水上搜救指挥中心报告。任何单位和个人发现误报水上险情后应当立即重新报告。
黑龙江省水上搜寻救助条例,,,第三章 预防救助,,第十七条 水上搜救指挥中心工作人员接到水上险情报告应当了解下列情况取的措施、救助请求以及联系方式的名称以及联系方式以及载货情况水温等气象、水文信息
黑龙江省水上搜寻救助条例,,,第三章 预防救助,,第十八条 水上搜救指挥中心接到险情报告后应当立即组织救助同时按照规定的程序和要求启动应急预案。险情发生地的乡镇人民政府、基层群众自治组织获悉水上险情后应当立即开展搜寻救助行动同时向所在地水上搜救指挥中心报告。
黑龙江省水上搜寻救助条例,,,第三章 预防救助,,第十九条 实施水上搜寻救助应当采取科学的救助措施保障参加水上搜寻救助行动人员的自身安全避免次生灾害的发生。
黑龙江省水上搜寻救助条例,,,第三章 预防救助,,第二十条 船舶、浮动设施、民用航空器以及人员在水上遇险应当采取措施进行自救。险情发生水域附近的船舶、浮动设施上的人员获悉水上险情信息时在不危及自身安全的情况下应当尽力救助遇险人员并且将有关情况及时向遇险地水上搜救指挥中心报告。
黑龙江省水上搜寻救助条例,,,第三章 预防救助,,第二十一条 接到水上搜寻救助指令的单位、人员、船舶、浮动设施和航空器应当立即执行指令有特殊情况不能立即执行指令的应当立即报告。
黑龙江省水上搜寻救助条例,,,第三章 预防救助,,第二十二条 水上搜寻救助的现场指挥由水上搜救指挥中心的人员或者其指定的人员负责。现场指挥人员应当及时向水上搜救指挥中心报告现场情况提出应对建议组织执行水上搜救指挥中心的指令。水上搜寻救助现场的单位、人员、船舶、浮动设施和航空器应当服从水上搜救指挥中心或者现场指挥人员的调度和指挥。任何单位和个人不得妨碍现场指挥人员对水上搜寻救助行动的组织和协调。
黑龙江省水上搜寻救助条例,,,第三章 预防救助,,第二十三条 遇险船舶、浮动设施、民用航空器上的人员及其所有人、经营人应当配合水上搜寻救助行动。
黑龙江省水上搜寻救助条例,,,第三章 预防救助,,第二十四条 受气象、水文、技术状况等客观条件限制水上搜寻救助行动无法进行的水上搜救指挥中心报请本级人民政府同意后可以决定暂时停止水上搜寻救助行动暂时停止原因消除的应当立即恢复水上搜寻救助行动。
黑龙江省水上搜寻救助条例,,,第三章 预防救助,,第二十五条 有下列情形之一的水上搜救指挥中心报请本级人民政府同意后可以决定终止水上搜寻救助行动制不再有扩展或者复发的可能已经不可能生存。决定终止水上搜寻救助行动的水上搜救指挥中心应当及时向参加水上搜寻救助行动的单位、人员通报。
黑龙江省水上搜寻救助条例,,,第三章 预防救助,,第二十六条 参加水上搜寻救助行动的单位和人员需要退出的应当经水上搜救指挥中心同意。
黑龙江省水上搜寻救助条例,,,第三章 预防救助,,第二十七条 水上搜寻救助信息由县以上人民政府或者水上搜救指挥中心向社会发布。发布水上搜寻救助信息应当及时、准确、客观、全面。任何单位和个人不得编造、传播有关水上突发事件事态发展或者水上搜寻救助工作的虚假信息。
黑龙江省水上搜寻救助条例,,,第三章 预防救助,,第二十八条 搜寻救助行动结束后负责指挥的水上搜救指挥中心应当及时对搜寻救助行动进行评估并且将评估结果上报本级人民政府和上一级水上搜救指挥中心。
黑龙江省水上搜寻救助条例,,,第四章 救助保障,,第二十九条 县以上人民政府应当做好以下工作入财政预算为水上搜寻救助工作提供必要的经费保障助能力的单位及其装备作为水上搜救力量
黑龙江省水上搜寻救助条例,,,第四章 救助保障,,第三十条 开展漂流、湿地游等活动的经营单位应当设置相应的水上安全设施并配备专业搜救队伍和必要的安全设备保障旅游者的人身安全。
黑龙江省水上搜寻救助条例,,,第四章 救助保障,,第三十一条 水上搜救指挥中心应当定期组织开展应对不同险情的水上搜寻救助训练和演习。水上搜寻救助综合演习方案应当报本级人民政府批准并且报上一级水上搜救指挥中心备案。
黑龙江省水上搜寻救助条例,,,第四章 救助保障,,第三十二条 承担水上搜寻救助和水上遇险报警值守的单位应当对水上搜寻救助设施、遇险报警设备进行定期维护使其处于良好状态确保正常使用。
