文件名,编,分编,章,节,内容
黔东南苗族侗族自治州里禾水库水资源保护条例,,,,,第一条 为加强对里禾水库水资源的保护合理开发和利用水资源充分发挥里禾水库水资源对凯里居民生活用水、农田灌溉和防洪的功能根据《中华人民共和国民族区域自治法》、《中华人民共和国水法》及有关法律法规发的规定结合实际制定本条例。
黔东南苗族侗族自治州里禾水库水资源保护条例,,,,,第二条 里禾水库水资源的保护、管理、开发和利用适用本条例。
黔东南苗族侗族自治州里禾水库水资源保护条例,,,,,第三条 根据有关法律法规的规定里禾水库水资源的范围为水库大坝 826 米高程以上至分水岭脊线之间迎水面和大坝下游 300 米以内、总干渠两侧各 5 米、支侧各 2 米的水体、陆地和滩涂。管理范围内的保护范围为水库大坝 826 米高程线以下迎水面两侧、水库大坝下游 300 米以内、总干渠两侧各 5 米、支侧各5 米的水体、陆地和滩涂。
黔东南苗族侗族自治州里禾水库水资源保护条例,,,,,第四条 里禾水库水资源保护应当全面规划、统筹兼顾、标本兼治、综合利用、讲求效益首先满足居民生活用水需要兼顾农田灌溉用水服从防洪的总体安排。
黔东南苗族侗族自治州里禾水库水资源保护条例,,,,,第五条 里禾水库内的水资源实行取水许可制度和有偿使用制度取水单位或个人应当依法办理许可证和缴纳水资源费。
黔东南苗族侗族自治州里禾水库水资源保护条例,,,,,第六条 自治州人民政府水行政主管部门负责里禾水库水资源的统一管理工作。凯里市、雷山县人民政府水行政主管部门具体负责本行政区域内里禾水库水资源的保护和管理工作有关行政主管部门协助做好相关保护和管理工作。里禾水库管理范围内的乡、镇人民政府村民委员会、居民委员会应当协助做好水资源保护和管理工作。
黔东南苗族侗族自治州里禾水库水资源保护条例,,,,,第七条 里禾水库库内的水质适用国家《地表水环境质量标准》的类标准。
黔东南苗族侗族自治州里禾水库水资源保护条例,,,,,第八条 自治州人民政府应当采取有效措施加大投入在里禾水库管理范围内治理污染实施退耕还林、植树造林、封山育林逐步提高森林覆盖率涵养水源防治水土流失发展生态农业推广沼气工程在里禾水库管理范围内使用的农药应当符合国家《农药安全使用标准》。
黔东南苗族侗族自治州里禾水库水资源保护条例,,,,,第九条 在里禾水库水资源管理范围内不得有下列行为
黔东南苗族侗族自治州里禾水库水资源保护条例,,,,,第十条 在里禾水库水资源保护范围内禁止下列行为害污染水质的废弃物
黔东南苗族侗族自治州里禾水库水资源保护条例,,,,,第十一条 任何单位和个人都有保护力和里禾水库水资源的义务对危害水库水资源的行为有制止、检举的权利。自治州人民政府凯里市、雷山县人民政府对在保护里禾水库水资源工作中成绩显著地单位和个人给予表彰和奖励。
黔东南苗族侗族自治州里禾水库水资源保护条例,,,,,第十二条 违反本条例规定的自治州凯里市、雷山县水行政主管部门或者其他有关行政主管部门按以下规定予以处罚国森林法》的规定给予处罚。给予批评教育限期采取补救措施。限期拆除违法建筑物、构筑物恢复原状逾期不拆除的依法申请拆除并对个人处 100 元以上 500 元以下罚款对单位处 1万元以上 5 万元以下罚款。行为限期恢复原状并对个人处 100 元以下 500 以下罚款对单位处 100 元以上 1000 元以下罚款。责令停止违法行为并对个人处 20 元以上 100 元以下的罚款对单位处 100 元以上 1 万元以下罚款。限期拆除逾期不拆除的依法申请拆除并对个人处 5000 元以上 1 万元以下罚款对单位处 1 万元以上 5 万元以下罚款。限期恢复原状依法赔偿损失并对个人处 100 元以上 500 元以下罚款对单位处 500 元以上 5000 元以下罚款。
黔东南苗族侗族自治州里禾水库水资源保护条例,,,,,第十三条 本条例未作处罚规定的违法行为法律法规规定处罚的从其规定。
黔东南苗族侗族自治州里禾水库水资源保护条例,,,,,第十四条 国家工作人员滥用职权、玩忽职守的由有关部门依法处理。
黔东南苗族侗族自治州里禾水库水资源保护条例,,,,,第十五条 里禾水库饮用水流经的金泉湖水库其水资源的保护参照本条例执行。
黔东南苗族侗族自治州里禾水库水资源保护条例,,,,,第十六条 本条例自 2004 年 8 月 1 日起施行。
