文件名,编,分编,章,节,内容
黔西南布依族苗族自治州农作物种子管理条例,,,,,第一条 为加强农作物种子管理保证种子质量合理利用种质资源保障农业生产安全保护种子选育者和生产者、经营者、使用者的合法权益促进农业生产发展根据《中华人民共和国民族区域自治法》、《中华人民共和国种子法》、《贵州省农作物种子管理条例》及相关法律法规的规定结合自治州实际制定本条例。
黔西南布依族苗族自治州农作物种子管理条例,,,,,第二条 在本自治州行政区域内从事农作物品种选育和种子生产、经营、使用、管理等活动适用本条例。本条例所称农作物种子是指农作物的种植材料或者繁殖材料包括籽粒、果实和根、茎、苗、芽、叶等。本条例所称主要农作物是指稻、玉米、小麦、油菜、马铃薯及自治州农业主管部门确定的 12 种农作物。
黔西南布依族苗族自治州农作物种子管理条例,,,,,第三条 自治州人民政府农业主管部门主管全州农作物种子管理工作县市人民政府农业主管部门主管本行政区域内的农作物种子管理工作。县级以上人民政府其他有关管理部门按照各自职责做好农作物种子管理工作。
黔西南布依族苗族自治州农作物种子管理条例,,,,,第四条 农业主管部门在种子管理工作中可以采取以下措施档案、标签、出入库凭证、货运单、检验和检疫报告等资料依法抽取样品
黔西南布依族苗族自治州农作物种子管理条例,,,,,第五条 自治州、县市人民政府应当按照科教兴农方针和种植业发展需要把种子产业列入农业规划将种子管理经费纳入同级财政预算扶持种子产业的发展。自治州人民政府设立专项资金用于扶持良种选育、试验和推广。自治州、县市人民政府应当建立种子储备制度。自治州人民政府对在种质资源保护和良种选育、推广等工作中成绩显著的单位和个人给予表彰和奖励。
黔西南布依族苗族自治州农作物种子管理条例,,,,,第六条 自治州人民政府应当加强农作物种质资源的保护根据需要建立种质资源库、种质资源保护区或保护地并报省级农业主管部门备案。任何单位或个人不得侵占和破坏天然种质资源禁止采集、采伐天然种质资源。因科研等特殊情况需要采集、采伐的应当报自治州人民政府农业主管部门批准。
黔西南布依族苗族自治州农作物种子管理条例,,,,,第七条 经省农业主管部门委托自治州人民政府农业主管部门设立农作物品种审定小组负责本行政区域内农作物品种的初审工作。
黔西南布依族苗族自治州农作物种子管理条例,,,,,第八条 引进适宜本自治州相似生态种植条件的主要农作物品种由引种单位或个人报自治州主要农作物品种审定小组同意并进行两年的引种试验经省农业主管部门批准后方可引种。
黔西南布依族苗族自治州农作物种子管理条例,,,,,第九条 本行政区域从未种植的非主要农作物品种推广前经营单位应当将种子的来源、质量指标、特征特性、适宜种植区域、适应性成功的试验报告及植物检疫等材料报所在地县级人民政府农业主管部门备案。
黔西南布依族苗族自治州农作物种子管理条例,,,,,第十条 申请领取自治州人民政府农业主管部门确定的主要农作物的种子生产许可证由所在地县级人民政府农业主管部门审核州人民政府农业主管部门核发。在自治州内从事农作物种子生产的应当到生产所在地县级农业主管部门备案登记备案登记时应提供以下材料
